method,map,mean_delta_ap,ci_lo,ci_hi,n
HUGO,gradient_magnitude,-0.000007,-0.000018,0.000004,1000
HUGO,laplacian_residual,0.001588,0.001017,0.002373,1000
HUGO,local_entropy,0.000006,-0.000012,0.000022,1000
HUGO,local_variance,0.000005,0.000000,0.000011,1000
HUGO,srm_residual,0.001506,0.001120,0.002034,1000
HUGO,texture_energy,0.001468,0.000978,0.002143,1000
HUGO,wavelet_energy,-0.000002,-0.000007,0.000002,1000
MIPOD,gradient_magnitude,0.000000,-0.000000,0.000000,1000
MIPOD,laplacian_residual,0.000300,0.000165,0.000486,1000
MIPOD,local_entropy,0.000000,-0.000001,0.000001,1000
MIPOD,local_variance,0.000001,0.000000,0.000002,1000
MIPOD,srm_residual,0.000199,0.000112,0.000319,1000
MIPOD,texture_energy,0.000225,0.000116,0.000372,1000
MIPOD,wavelet_energy,-0.000000,-0.000001,0.000000,1000
SUNIWARD,gradient_magnitude,0.000000,-0.000000,0.000001,1000
SUNIWARD,laplacian_residual,0.000356,0.000217,0.000547,1000
SUNIWARD,local_entropy,-0.000007,-0.000014,-0.000002,1000
SUNIWARD,local_variance,0.000001,0.000000,0.000002,1000
SUNIWARD,srm_residual,0.000215,0.000139,0.000320,1000
SUNIWARD,texture_energy,0.000264,0.000155,0.000414,1000
SUNIWARD,wavelet_energy,-0.000000,-0.000002,0.000001,1000
