config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate,repeats,mean_sd_carrier_recall
hugo_alpha0p001,HUGO,0.001,0.005,0.5,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,1311.0,1311000,0,0.1264,9.641495041952708e-05,0.005019577394702202,1311.0,0.1264,9.641495041952708e-05,10,0.011351634000120613
hugo_alpha0p001,HUGO,0.001,0.01,1.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,2621.0,2621000,1,0.2576,9.828309805417778e-05,0.010265229541737447,1310.0,0.1312,0.00010015267175572521,10,0.018878850396095482
hugo_alpha0p001,HUGO,0.001,0.02,2.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,5243.0,5243000,56,0.5057,9.645241274079727e-05,0.020010928988924946,2622.0,0.2481,9.462242562929062e-05,10,0.02698488826044476
hugo_alpha0p001,HUGO,0.001,0.05,5.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,13107.0,13107000,794,1.2473,9.516289005874723e-05,0.04934219236937713,7864.0,0.7416,9.430315361139369e-05,10,0.04297592579059436
hugo_alpha0p001,HUGO,0.001,0.1,10.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,26214.0,26214000,2034,2.4994,9.534599832150759e-05,0.09882766817531294,13107.0,1.2521,9.552910658426794e-05,10,0.059321802459373456
hugo_alpha0p001,HUGO,0.001,0.2,20.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,52429.0,52429000,4573,5.031199999999999,9.596215834747946e-05,0.19911000428058526,26215.0,2.5318,9.657829486934961e-05,10,0.0790920843841279
hugo_alpha0p001,HUGO,0.001,0.3,30.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,78643.0,78643000,7072,7.539700000000001,9.587248706178554e-05,0.2985454255357077,26214.0,2.5085,9.569314106965743e-05,10,0.0912899278973762
hugo_alpha0p001,HUGO,0.001,0.4,40.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,104858.0,104858000,9630,10.079900000000002,9.612905071620668e-05,0.3991020664176282,26215.0,2.5402,9.68987221056647e-05,10,0.09826389817576772
hugo_alpha0p001,HUGO,0.001,0.5,50.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,131072.0,131072000,12144,12.600700000000002,9.613571166992189e-05,0.4990474119204795,26214.0,2.5208,9.616235599298085e-05,10,0.09906328630497128
hugo_alpha0p0025,HUGO,0.0025,0.005,0.5,1000,262144.0,68.703,68.703,0.0002620811462402344,0.026208114624023438,1311.0,1311000,2,0.3433,0.00026186117467582,0.0050377817989752565,1311.0,0.3433,0.00026186117467582,10,0.008170088019585495
