distribution,image_source,method,alpha,probe_budget_fraction,mean_carrier_recall,mean_precision_hit_rate,lift
texture_energy,stego,HUGO,0.03,0.01,0.03637485927023148,0.016428843952689814,3.637485927023148
texture_energy,stego,HUGO,0.03,0.05,0.17026154365022234,0.015267414358739604,3.4052308730044465
texture_energy,stego,HUGO,0.03,0.1,0.3121387080742314,0.013906309605554286,3.1213870807423136
texture_energy,stego,HUGO,0.03,0.2,0.531070596320908,0.011681130671956362,2.65535298160454
texture_energy,stego,HUGO,0.03,0.3,0.6881113154693943,0.009992497742965043,2.293704384897981
texture_energy,stego,HUGO,0.03,0.4,0.7984038640080581,0.008631673310572394,1.9960096600201451
texture_energy,stego,HUGO,0.03,0.5,0.8767288834917195,0.007540206909179687,1.753457766983439
texture_energy,stego,HUGO,0.05,0.01,0.03298149448318975,0.026112170927127053,3.2981494483189753
texture_energy,stego,HUGO,0.05,0.05,0.15585905365785954,0.024551766231784535,3.1171810731571905
texture_energy,stego,HUGO,0.05,0.1,0.291566362476192,0.022842374303807124,2.91566362476192
texture_energy,stego,HUGO,0.05,0.2,0.5062533128433404,0.01961872246275916,2.531266564216702
texture_energy,stego,HUGO,0.05,0.3,0.6631012590406314,0.01698752590821815,2.210337530135438
texture_energy,stego,HUGO,0.05,0.4,0.7793409489043264,0.014869919319460608,1.9483523722608158
texture_energy,stego,HUGO,0.05,0.5,0.8611862211611601,0.013073577880859374,1.7223724423223201
texture_energy,stego,HUGO,0.1,0.01,0.02936652407785942,0.05,2.936652407785942
texture_energy,stego,HUGO,0.1,0.05,0.13924718585075513,0.04732433051041427,2.7849437170151026
texture_energy,stego,HUGO,0.1,0.1,0.26192983176740703,0.044344625009536884,2.6192983176740703
texture_energy,stego,HUGO,0.1,0.2,0.46585999324824123,0.039134829960518036,2.329299966241206
texture_energy,stego,HUGO,0.1,0.3,0.6240153407247007,0.03471879251808808,2.0800511357490024
texture_energy,stego,HUGO,0.1,0.4,0.7443203590111246,0.030881954643422537,1.8608008975278114
texture_energy,stego,HUGO,0.1,0.5,0.8335970353676697,0.027530364990234375,1.6671940707353394
texture_energy,stego,HUGO,0.2,0.01,0.024990497941830427,0.09309423884013737,2.4990497941830427
texture_energy,stego,HUGO,0.2,0.05,0.12023764472499698,0.08934004730296786,2.4047528944999397
texture_energy,stego,HUGO,0.2,0.1,0.22959890305851705,0.08515945677882046,2.2959890305851705
texture_energy,stego,HUGO,0.2,0.2,0.4195666870996041,0.07746876728528104,2.0978334354980204
texture_energy,stego,HUGO,0.2,0.3,0.5743747709101483,0.07039291481759341,1.9145825697004946
texture_energy,stego,HUGO,0.2,0.4,0.6991402939919812,0.0639850082969349,1.7478507349799528
texture_energy,stego,HUGO,0.2,0.5,0.7974305924394948,0.05815078735351562,1.5948611848789895
texture_energy,stego,HUGO,0.3,0.01,0.022159947841391126,0.1312094620373903,2.2159947841391126
texture_energy,stego,HUGO,0.3,0.05,0.10847815142015785,0.12825970855268173,2.169563028403157
texture_energy,stego,HUGO,0.3,0.1,0.20932293796255522,0.12356336308842603,2.093229379625552
texture_energy,stego,HUGO,0.3,0.2,0.38936903474778817,0.11461347727402775,1.9468451737389407
texture_energy,stego,HUGO,0.3,0.3,0.5417355345804321,0.10598184199483741,1.805785115268107
texture_energy,stego,HUGO,0.3,0.4,0.6681906734551031,0.09774504568082548,1.6704766836377576
texture_energy,stego,HUGO,0.3,0.5,0.7708616166903092,0.08994064331054688,1.5417232333806183
texture_energy,stego,HUGO,0.4,0.01,0.020500991879513798,0.16969858832506673,2.0500991879513797
texture_energy,stego,HUGO,0.4,0.05,0.10026627762547041,0.1659555962462806,2.005325552509408
texture_energy,stego,HUGO,0.4,0.1,0.1944464858402922,0.16077553978789957,1.9444648584029218
texture_energy,stego,HUGO,0.4,0.2,0.36567863916889004,0.15091247210513267,1.8283931958444501
texture_energy,stego,HUGO,0.4,0.3,0.5145944204606027,0.14129127830830462,1.7153147348686757
texture_energy,stego,HUGO,0.4,0.4,0.6418415134373049,0.13187234164298384,1.604603783593262
texture_energy,stego,HUGO,0.4,0.5,0.7476873334775069,0.12261116027832031,1.4953746669550139
texture_energy,stego,HUGO,0.5,0.01,0.01914563392343328,0.20688668447157574,1.914563392343328
texture_energy,stego,HUGO,0.5,0.05,0.09375394745891912,0.20256580453192946,1.8750789491783821
texture_energy,stego,HUGO,0.5,0.1,0.18261842174195422,0.19716716258487832,1.8261842174195422
texture_energy,stego,HUGO,0.5,0.2,0.34618426630025817,0.18667188006637556,1.7309213315012908
texture_energy,stego,HUGO,0.5,0.3,0.4913850794150092,0.1764191345701461,1.6379502647166975
texture_energy,stego,HUGO,0.5,0.4,0.6186067623556297,0.1663095805756356,1.5465169058890742
texture_energy,stego,HUGO,0.5,0.5,0.7267614434736683,0.1560383605957031,1.4535228869473367
texture_energy,stego,MIPOD,0.03,0.01,0.016591695778322944,0.00525371995421595,1.6591695778322944
texture_energy,stego,MIPOD,0.03,0.05,0.08122191096014499,0.005123216601815823,1.6244382192028997
texture_energy,stego,MIPOD,0.03,0.1,0.15966113336181692,0.005030518043793393,1.596611333618169
texture_energy,stego,MIPOD,0.03,0.2,0.3040843286726203,0.0047666367849854095,1.5204216433631015
texture_energy,stego,MIPOD,0.03,0.3,0.43841556773286877,0.004562262375545185,1.4613852257762292
texture_energy,stego,MIPOD,0.03,0.4,0.5569680700285351,0.004330332449598505,1.3924201750713376
texture_energy,stego,MIPOD,0.03,0.5,0.6622780802528303,0.004104995727539062,1.3245561605056606
texture_energy,stego,MIPOD,0.05,0.01,0.016490046858886002,0.009549790156428843,1.6490046858886
texture_energy,stego,MIPOD,0.05,0.05,0.08237081631558714,0.009524681467917906,1.6474163263117427
texture_energy,stego,MIPOD,0.05,0.1,0.16038966372218982,0.009245822842755777,1.6038966372218981
texture_energy,stego,MIPOD,0.05,0.2,0.30494690924880796,0.008749356272292053,1.5247345462440398
texture_energy,stego,MIPOD,0.05,0.3,0.43623815623964146,0.00830627010668464,1.4541271874654715
texture_energy,stego,MIPOD,0.05,0.4,0.555235335453426,0.007899158862461614,1.3880883386335647
texture_energy,stego,MIPOD,0.05,0.5,0.6614062330388893,0.007498931884765625,1.3228124660777787
texture_energy,stego,MIPOD,0.1,0.01,0.016375664643785738,0.021953452880579937,1.6375664643785737
texture_energy,stego,MIPOD,0.1,0.05,0.0817146078158193,0.021850919356069275,1.634292156316386
texture_energy,stego,MIPOD,0.1,0.1,0.15945386604039377,0.021271076523994806,1.5945386604039375
texture_energy,stego,MIPOD,0.1,0.2,0.3048245739702725,0.020230597570047113,1.5241228698513625
texture_energy,stego,MIPOD,0.1,0.3,0.4351536995651601,0.01916775809671554,1.450512331883867
texture_energy,stego,MIPOD,0.1,0.4,0.5532402303689259,0.01819670411413531,1.3831005759223147
texture_energy,stego,MIPOD,0.1,0.5,0.6593852885846195,0.017281570434570313,1.318770577169239
texture_energy,stego,MIPOD,0.2,0.01,0.016055359991419386,0.05074399084318964,1.6055359991419385
texture_energy,stego,MIPOD,0.2,0.05,0.0795786957136533,0.05016632333867399,1.5915739142730658
texture_energy,stego,MIPOD,0.2,0.1,0.15606430636107357,0.04909018081940946,1.5606430636107356
texture_energy,stego,MIPOD,0.2,0.2,0.2993555590482633,0.0468813061473612,1.4967777952413164
texture_energy,stego,MIPOD,0.2,0.3,0.4294518455248068,0.04464860190989662,1.4315061517493561
texture_energy,stego,MIPOD,0.2,0.4,0.5479350489899636,0.04254410726887792,1.369837622474909
texture_energy,stego,MIPOD,0.2,0.5,0.6546046008098595,0.040497970581054685,1.309209201619719
texture_energy,stego,MIPOD,0.3,0.01,0.01596242686114155,0.08442579168256391,1.5962426861141548
texture_energy,stego,MIPOD,0.3,0.05,0.07810853420833162,0.08244678416113527,1.5621706841666323
texture_energy,stego,MIPOD,0.3,0.1,0.1529402386530884,0.08061989776455329,1.529402386530884
texture_energy,stego,MIPOD,0.3,0.2,0.29442483918267925,0.07734974918461159,1.4721241959133962
texture_energy,stego,MIPOD,0.3,0.3,0.42468940546392786,0.07411110969825668,1.4156313515464263
texture_energy,stego,MIPOD,0.3,0.4,0.543237203273094,0.07084066070304602,1.358093008182735
texture_energy,stego,MIPOD,0.3,0.5,0.6499590213407552,0.06756187438964843,1.2999180426815105
texture_energy,stego,MIPOD,0.4,0.01,0.015397636767874983,0.11821060663868753,1.5397636767874983
texture_energy,stego,MIPOD,0.4,0.05,0.07589946769582397,0.11649958037689782,1.5179893539164793
texture_energy,stego,MIPOD,0.4,0.1,0.14927234461183725,0.11437628747997251,1.4927234461183725
texture_energy,stego,MIPOD,0.4,0.2,0.2891605070187142,0.1104781704781705,1.445802535093571
texture_energy,stego,MIPOD,0.4,0.3,0.41831474499281895,0.1062431494220719,1.3943824833093965
texture_energy,stego,MIPOD,0.4,0.4,0.536829816867236,0.10195664613095808,1.3420745421680897
texture_energy,stego,MIPOD,0.4,0.5,0.6450581217621568,0.09769142150878907,1.2901162435243136
texture_energy,stego,MIPOD,0.5,0.01,0.014960720932909195,0.15443342235787866,1.4960720932909195
texture_energy,stego,MIPOD,0.5,0.05,0.07405667305251107,0.15272983901731899,1.4811334610502214
texture_energy,stego,MIPOD,0.5,0.1,0.1460784901058376,0.1504905775539788,1.4607849010583758
texture_energy,stego,MIPOD,0.5,0.2,0.28383278187147143,0.14586164145797173,1.4191639093573571
texture_energy,stego,MIPOD,0.5,0.3,0.41258336038515386,0.14103582009841942,1.3752778679505129
texture_energy,stego,MIPOD,0.5,0.4,0.5312668914075521,0.13587041522821341,1.3281672285188801
texture_energy,stego,MIPOD,0.5,0.5,0.6397852737050949,0.13055526733398437,1.2795705474101897
uniform,,HUGO,0.03,0.01,0.009808871899409868,0.00417397939717665,0.9808871899409868
uniform,,HUGO,0.03,0.05,0.050498109775328155,0.004287022201876859,1.009962195506563
uniform,,HUGO,0.03,0.1,0.09977663018358596,0.0042355230029755084,0.9977663018358596
uniform,,HUGO,0.03,0.2,0.19922280591109381,0.004227812851666063,0.996114029555469
uniform,,HUGO,0.03,0.3,0.29885104911206356,0.004233434634996122,0.9961701637068786
uniform,,HUGO,0.03,0.4,0.396758891484034,0.0042149382975071046,0.9918972287100849
