distribution,image_source,method,alpha,probe_budget_fraction,mean_carrier_recall,mean_precision_hit_rate,lift
uniform,,HUGO,0.03,0.01,0.009983809663728128,0.00411056848531095,0.9983809663728127
uniform,,HUGO,0.03,0.05,0.05006798866563404,0.004120904859998474,1.0013597733126807
uniform,,HUGO,0.03,0.1,0.1001657012645011,0.0041217479209582665,1.0016570126450108
uniform,,HUGO,0.03,0.2,0.20019382916376877,0.004119327089969292,1.0009691458188437
uniform,,HUGO,0.03,0.3,0.3002460080861332,0.0041183169512861925,1.0008200269537775
uniform,,HUGO,0.03,0.4,0.4001681577673297,0.004116871387972306,1.0004203944183243
uniform,,HUGO,0.03,0.5,0.5001402202302323,0.0041165878295898435,1.0002804404604646
uniform,,HUGO,0.05,0.01,0.009985258068410118,0.007294544067149943,0.9985258068410118
uniform,,HUGO,0.05,0.05,0.049930531245723685,0.007294300755321583,0.9986106249144736
uniform,,HUGO,0.05,0.1,0.0998644164361403,0.007293312733653774,0.998644164361403
uniform,,HUGO,0.05,0.2,0.1998726415274899,0.007298092658643118,0.9993632076374495
uniform,,HUGO,0.05,0.3,0.29990906617706653,0.007300869753188459,0.9996968872568884
uniform,,HUGO,0.05,0.4,0.3999772639449021,0.007302682675618457,0.9999431598622551
uniform,,HUGO,0.05,0.5,0.5001451608166725,0.007305152130126953,1.000290321633345
uniform,,HUGO,0.1,0.01,0.010001436166900891,0.016022014498283096,1.0001436166900892
uniform,,HUGO,0.1,0.05,0.049971778932455364,0.016001831082627604,0.9994355786491073
uniform,,HUGO,0.1,0.1,0.1000039389752046,0.016013721675440604,1.0000393897520459
uniform,,HUGO,0.1,0.2,0.20000895260603688,0.01601456827328387,1.0000447630301843
uniform,,HUGO,0.1,0.3,0.299896746768371,0.016009003980010938,0.9996558225612368
uniform,,HUGO,0.1,0.4,0.3998720968166362,0.016008966411718707,0.9996802420415904
uniform,,HUGO,0.1,0.5,0.4999389932477425,0.016012162017822264,0.999877986495485
uniform,,HUGO,0.2,0.01,0.01000183113719907,0.03556566196108355,1.000183113719907
uniform,,HUGO,0.2,0.05,0.049985058723278804,0.03554746318760967,0.999701174465576
uniform,,HUGO,0.2,0.1,0.10003284987171582,0.03556946288242924,1.0003284987171581
uniform,,HUGO,0.2,0.2,0.20001120799129912,0.0355601346582998,1.0000560399564955
uniform,,HUGO,0.2,0.3,0.299997893353161,0.035558127233193036,0.9999929778438701
uniform,,HUGO,0.2,0.4,0.4000123517443319,0.035559016002593986,1.0000308793608297
uniform,,HUGO,0.2,0.5,0.5000468478944077,0.035561276245117186,1.0000936957888154
uniform,,HUGO,0.3,0.01,0.009995036113580855,0.05718199160625716,0.9995036113580855
uniform,,HUGO,0.3,0.05,0.04997499543464617,0.057180338750286115,0.9994999086929233
uniform,,HUGO,0.3,0.1,0.09995904307249327,0.057186892500190746,0.9995904307249327
uniform,,HUGO,0.3,0.2,0.19997246452749737,0.05720228308760419,0.9998623226374868
uniform,,HUGO,0.3,0.3,0.29999821043689745,0.057209808883180946,0.9999940347896582
uniform,,HUGO,0.3,0.4,0.3999719492881982,0.05720590036048752,0.9999298732204954
uniform,,HUGO,0.3,0.5,0.49995786686692356,0.05720541152954101,0.9999157337338471
uniform,,HUGO,0.4,0.01,0.009998377428084355,0.08068401373521555,0.9998377428084355
uniform,,HUGO,0.4,0.05,0.05000910919991228,0.08069936675059129,1.0001821839982454
uniform,,HUGO,0.4,0.1,0.09999825808973953,0.0806844014648661,0.9999825808973952
uniform,,HUGO,0.4,0.2,0.19999537044496996,0.08068227889145321,0.9999768522248498
uniform,,HUGO,0.4,0.3,0.3000084317717511,0.0806878183690856,1.0000281059058371
uniform,,HUGO,0.4,0.4,0.40002514544895623,0.08068987869308972,1.0000628636223905
uniform,,HUGO,0.4,0.5,0.49999745244135246,0.08068458786010742,0.9999949048827049
uniform,,HUGO,0.5,0.01,0.010003880059214449,0.10594868370850823,1.000388005921445
uniform,,HUGO,0.5,0.05,0.05001943624463262,0.10592897688258181,1.0003887248926524
uniform,,HUGO,0.5,0.1,0.10002455279554093,0.10591503013656825,1.0002455279554092
uniform,,HUGO,0.5,0.2,0.20001809867991505,0.10589947548112687,1.0000904933995751
uniform,,HUGO,0.5,0.3,0.3000169853272517,0.10589689101382196,1.0000566177575057
uniform,,HUGO,0.5,0.4,0.4000180942297508,0.10589520494382883,1.000045235574377
uniform,,HUGO,0.5,0.5,0.500032890275556,0.10589693374633789,1.000065780551112
texture_energy,stego,HUGO,0.03,0.01,0.033302182768157954,0.014522930179320869,3.330218276815795
texture_energy,stego,HUGO,0.03,0.05,0.15697667187416933,0.013613054093232622,3.1395334374833865
texture_energy,stego,HUGO,0.03,0.1,0.29165868224069963,0.012567036697947663,2.916586822406996
texture_energy,stego,HUGO,0.03,0.2,0.5062249439979539,0.010788372847088444,2.5311247199897693
texture_energy,stego,HUGO,0.03,0.3,0.6634678205354242,0.009342592474854724,2.2115594017847475
texture_energy,stego,HUGO,0.03,0.4,0.777885211406552,0.00815547025501154,1.9447130285163798
texture_energy,stego,HUGO,0.03,0.5,0.8599601451525185,0.007170224761962891,1.719920290305037
texture_energy,stego,HUGO,0.05,0.01,0.030790880371075843,0.023711140785959556,3.079088037107584
texture_energy,stego,HUGO,0.05,0.05,0.14618452011591895,0.022411848630502784,2.9236904023183787
texture_energy,stego,HUGO,0.05,0.1,0.2739551738607032,0.02089486533913176,2.739551738607032
texture_energy,stego,HUGO,0.05,0.2,0.4826983603674128,0.018236262373877054,2.413491801837064
texture_energy,stego,HUGO,0.05,0.3,0.6403387649031834,0.015998091374947548,2.134462549677278
texture_energy,stego,HUGO,0.05,0.4,0.757983002835481,0.01410562284232009,1.8949575070887026
texture_energy,stego,HUGO,0.05,0.5,0.8442753855194868,0.012497657012939454,1.6885507710389736
texture_energy,stego,HUGO,0.1,0.01,0.02730250516672928,0.04573685616177032,2.730250516672928
texture_energy,stego,HUGO,0.1,0.05,0.1307829253822919,0.043687998779278245,2.6156585076458376
texture_energy,stego,HUGO,0.1,0.1,0.24818322259842376,0.04130460822461281,2.4818322259842374
texture_energy,stego,HUGO,0.1,0.2,0.4466412444489406,0.03690667378740774,2.2332062222447027
texture_energy,stego,HUGO,0.1,0.3,0.6032757681710775,0.03301483030911842,2.010919227236925
texture_energy,stego,HUGO,0.1,0.4,0.7249708056873133,0.029579464609281125,1.8124270142182832
texture_energy,stego,HUGO,0.1,0.5,0.8178017726415409,0.026555120849609374,1.6356035452830817
texture_energy,stego,HUGO,0.2,0.01,0.0235639217819635,0.086745478824876,2.3563921781963497
texture_energy,stego,HUGO,0.2,0.05,0.11416046757034046,0.08391844815747311,2.283209351406809
texture_energy,stego,HUGO,0.2,0.1,0.21937524432492272,0.08046969176775769,2.193752443249227
texture_energy,stego,HUGO,0.2,0.2,0.40443393317047194,0.07384693776345153,2.0221696658523594
texture_energy,stego,HUGO,0.2,0.3,0.5579498626139837,0.06760543595742786,1.8598328753799458
texture_energy,stego,HUGO,0.2,0.4,0.6831052340056952,0.06179640942989568,1.707763085014238
texture_energy,stego,HUGO,0.2,0.5,0.7829456492886487,0.056421611022949215,1.5658912985772975
texture_energy,stego,HUGO,0.3,0.01,0.021311590421103206,0.12534483021747422,2.1311590421103204
texture_energy,stego,HUGO,0.3,0.05,0.10393226726164721,0.12212819104295415,2.0786453452329443
texture_energy,stego,HUGO,0.3,0.1,0.20126988728424344,0.11810216296635385,2.012698872842434
texture_energy,stego,HUGO,0.3,0.2,0.3765541578337009,0.11015445650308035,1.8827707891685044
texture_energy,stego,HUGO,0.3,0.3,0.5267255985781976,0.10238802690639981,1.7557519952606586
texture_energy,stego,HUGO,0.3,0.4,0.6529912090311742,0.0948714060920483,1.6324780225779356
texture_energy,stego,HUGO,0.3,0.5,0.756912957847157,0.08767367477416992,1.513825915694314
texture_energy,stego,HUGO,0.4,0.01,0.01968563463433817,0.1624238840137352,1.968563463433817
texture_energy,stego,HUGO,0.4,0.05,0.09642088022762506,0.15899832150759136,1.928417604552501
texture_energy,stego,HUGO,0.4,0.1,0.1877448494134791,0.15466574731059737,1.8774484941347909
texture_energy,stego,HUGO,0.4,0.2,0.3549694484542882,0.1459258368460203,1.7748472422714408
texture_energy,stego,HUGO,0.4,0.3,0.501731714212339,0.13718758312882265,1.6724390473744633
texture_energy,stego,HUGO,0.4,0.4,0.6282120638154902,0.1284936752560606,1.5705301595387255
texture_energy,stego,HUGO,0.4,0.5,0.7348831037446051,0.11991970977783203,1.4697662074892102
texture_energy,stego,HUGO,0.5,0.01,0.018412372165660308,0.19854200686760778,1.8412372165660307
texture_energy,stego,HUGO,0.5,0.05,0.09042707980002503,0.1949165102616922,1.8085415960005005
texture_energy,stego,HUGO,0.5,0.1,0.176792908908592,0.1904359235523003,1.76792908908592
texture_energy,stego,HUGO,0.5,0.2,0.3370988855791463,0.1813115584886227,1.6854944278957313
texture_energy,stego,HUGO,0.5,0.3,0.480495545928918,0.1720125631016111,1.60165181976306
texture_energy,stego,HUGO,0.5,0.4,0.6066133627204318,0.16255658986438803,1.5165334068010794
texture_energy,stego,HUGO,0.5,0.5,0.7152606050829491,0.15300649795532226,1.4305212101658982
laplacian_residual,stego,HUGO,0.03,0.01,0.031747484061546524,0.013745402518122852,3.1747484061546523
laplacian_residual,stego,HUGO,0.03,0.05,0.1486011468239088,0.012790959029526207,2.972022936478176
laplacian_residual,stego,HUGO,0.03,0.1,0.27413021851931324,0.011723987182421607,2.741302185193132
laplacian_residual,stego,HUGO,0.03,0.2,0.47205628712642667,0.009991140399397282,2.360281435632133
laplacian_residual,stego,HUGO,0.03,0.3,0.6173487689885576,0.008643712727134012,2.057829229961859
laplacian_residual,stego,HUGO,0.03,0.4,0.7253144124874886,0.007571374620915905,1.8132860312187216
laplacian_residual,stego,HUGO,0.03,0.5,0.8056370438611986,0.006697830963134766,1.6112740877223972
laplacian_residual,stego,HUGO,0.05,0.01,0.029592383262688583,0.022652537199542154,2.959238326268858
laplacian_residual,stego,HUGO,0.05,0.05,0.1393169307261071,0.021226077668421453,2.786338614522142
laplacian_residual,stego,HUGO,0.05,0.1,0.2593052821317067,0.019650942244602124,2.593052821317067
laplacian_residual,stego,HUGO,0.05,0.2,0.45293395176318507,0.017007059070361822,2.2646697588159252
laplacian_residual,stego,HUGO,0.05,0.3,0.5988939774462647,0.014883422555090725,1.9963132581542158
laplacian_residual,stego,HUGO,0.05,0.4,0.7093122684873046,0.013145287913177822,1.7732806712182614
laplacian_residual,stego,HUGO,0.05,0.5,0.7931005699693157,0.011706327056884765,1.5862011399386313
laplacian_residual,stego,HUGO,0.1,0.01,0.026379754904040254,0.04400724914154903,2.6379754904040253
laplacian_residual,stego,HUGO,0.1,0.05,0.12583245870464166,0.04184303044174868,2.516649174092833
laplacian_residual,stego,HUGO,0.1,0.1,0.23738649884060656,0.03931692988479439,2.3738649884060656
laplacian_residual,stego,HUGO,0.1,0.2,0.42367980794508203,0.03483684983501497,2.11839903972541
laplacian_residual,stego,HUGO,0.1,0.3,0.5695674393883433,0.0310294813270094,1.8985581312944777
laplacian_residual,stego,HUGO,0.1,0.4,0.6835374790365395,0.027784715520036623,1.7088436975913486
laplacian_residual,stego,HUGO,0.1,0.5,0.772213462882053,0.025005481719970704,1.544426925764106
laplacian_residual,stego,HUGO,0.2,0.01,0.02305603948101338,0.08466478443342236,2.305603948101338
laplacian_residual,stego,HUGO,0.2,0.05,0.11130694220107107,0.08158803692683297,2.2261388440214214
laplacian_residual,stego,HUGO,0.2,0.1,0.21282814968137453,0.0778213740749218,2.128281496813745
laplacian_residual,stego,HUGO,0.2,0.2,0.38911272568083366,0.07080199507905931,1.9455636284041682
laplacian_residual,stego,HUGO,0.2,0.3,0.5335625324666147,0.06442955889271773,1.7785417748887156
laplacian_residual,stego,HUGO,0.2,0.4,0.650846889341512,0.058698389250224116,1.62711722335378
laplacian_residual,stego,HUGO,0.2,0.5,0.7452191634054764,0.05357157135009766,1.490438326810953
laplacian_residual,stego,HUGO,0.3,0.01,0.02102184910014841,0.12340442579168256,2.1021849100148406
laplacian_residual,stego,HUGO,0.3,0.05,0.10213992687695729,0.11977009994659343,2.0427985375391455
laplacian_residual,stego,HUGO,0.3,0.1,0.197010315812952,0.11534073014419775,1.9701031581295199
laplacian_residual,stego,HUGO,0.3,0.2,0.36570821793140196,0.10670670621221079,1.8285410896570098
laplacian_residual,stego,HUGO,0.3,0.3,0.5082730015041871,0.09853774779700673,1.6942433383472904
laplacian_residual,stego,HUGO,0.3,0.4,0.6271799957523851,0.09089243739151996,1.5679499893809627
laplacian_residual,stego,HUGO,0.3,0.5,0.7251312215523916,0.08381340026855469,1.4502624431047832
laplacian_residual,stego,HUGO,0.4,0.01,0.01952931190962596,0.16092548645555133,1.9529311909625957
laplacian_residual,stego,HUGO,0.4,0.05,0.09534527398373797,0.15698595407034407,1.9069054796747593
laplacian_residual,stego,HUGO,0.4,0.1,0.18494080515839287,0.15209960708018616,1.8494080515839286
laplacian_residual,stego,HUGO,0.4,0.2,0.34721146248837204,0.14245963684220567,1.7360573124418601
laplacian_residual,stego,HUGO,0.4,0.3,0.4876927453039023,0.13307216026855537,1.625642484346341
laplacian_residual,stego,HUGO,0.4,0.4,0.6074726090538325,0.12399702264014191,1.5186815226345811
laplacian_residual,stego,HUGO,0.4,0.5,0.7081255351053195,0.11534132690429688,1.416251070210639
laplacian_residual,stego,HUGO,0.5,0.01,0.018332459627239003,0.19745757344524992,1.8332459627239002
laplacian_residual,stego,HUGO,0.5,0.05,0.08983848068706216,0.1934114442664225,1.796769613741243
laplacian_residual,stego,HUGO,0.5,0.1,0.17505486977597579,0.1883177119096666,1.7505486977597577
laplacian_residual,stego,HUGO,0.5,0.2,0.33169308828623717,0.17813666291556202,1.6584654414311857
laplacian_residual,stego,HUGO,0.5,0.3,0.46996193702905875,0.1679644176849815,1.5665397900968625
laplacian_residual,stego,HUGO,0.5,0.4,0.5901841331508022,0.15788672108947338,1.4754603328770055
laplacian_residual,stego,HUGO,0.5,0.5,0.6930040205577809,0.14801166076660155,1.3860080411155618
local_variance,stego,HUGO,0.03,0.01,0.04231514317491955,0.018734948492941623,4.231514317491955
local_variance,stego,HUGO,0.03,0.05,0.1880171276266489,0.016529335469596403,3.760342552532978
local_variance,stego,HUGO,0.03,0.1,0.33199978273717895,0.014467067215991454,3.319997827371789
local_variance,stego,HUGO,0.03,0.2,0.5406056632341705,0.011619674226096246,2.7030283161708524
local_variance,stego,HUGO,0.03,0.3,0.6828860097278477,0.009682913927495138,2.276286699092826
local_variance,stego,HUGO,0.03,0.4,0.7835099090267371,0.008261562303305424,1.9587747725668427
local_variance,stego,HUGO,0.03,0.5,0.8557694985895566,0.007168865966796875,1.7115389971791133
local_variance,stego,HUGO,0.05,0.01,0.03815507302050981,0.029675581838992753,3.8155073020509804
local_variance,stego,HUGO,0.05,0.05,0.17287241562099895,0.0267762035553521,3.4574483124199786
local_variance,stego,HUGO,0.05,0.1,0.31042847329520024,0.0238972228580148,3.104284732952002
local_variance,stego,HUGO,0.05,0.2,0.5165720089386048,0.019666978199088293,2.5828600446930237
local_variance,stego,HUGO,0.05,0.3,0.6617029568023843,0.01663910964739392,2.2056765226746147
local_variance,stego,HUGO,0.05,0.4,0.7664977288885139,0.014341848976711362,1.9162443222212846
local_variance,stego,HUGO,0.05,0.5,0.8431569517809349,0.012536944580078126,1.6863139035618697
local_variance,stego,HUGO,0.1,0.01,0.032514286785999845,0.05463910721098818,3.2514286785999844
local_variance,stego,HUGO,0.1,0.05,0.15083595566512817,0.0506427481498436,3.016719113302563
local_variance,stego,HUGO,0.1,0.1,0.27712563145451824,0.04639741359578851,2.771256314545182
local_variance,stego,HUGO,0.1,0.2,0.47700228963723723,0.039657878273474605,2.385011448186186
local_variance,stego,HUGO,0.1,0.3,0.625463345921883,0.03442311203794362,2.08487781973961
local_variance,stego,HUGO,0.1,0.4,0.7370432050314379,0.030220449560357816,1.8426080125785949
local_variance,stego,HUGO,0.1,0.5,0.8208301014314371,0.026763060760498048,1.6416602028628742
local_variance,stego,HUGO,0.2,0.01,0.02693283728806556,0.09908939336131246,2.6932837288065556
local_variance,stego,HUGO,0.2,0.05,0.1277404764210633,0.09402288853284503,2.5548095284212655
local_variance,stego,HUGO,0.2,0.1,0.240165817973606,0.0883423781185626,2.40165817973606
local_variance,stego,HUGO,0.2,0.2,0.42871967964999,0.07860887104465086,2.14359839824995
local_variance,stego,HUGO,0.2,0.3,0.5781619270737763,0.07036722658087816,1.9272064235792545
local_variance,stego,HUGO,0.2,0.4,0.696294218280532,0.06325492189437143,1.7407355457013298
local_variance,stego,HUGO,0.2,0.5,0.7888509335668094,0.05705457611083985,1.5777018671336187
local_variance,stego,HUGO,0.3,0.01,0.023737099608999335,0.13936234261732164,2.3737099608999332
local_variance,stego,HUGO,0.3,0.05,0.11389885453959316,0.13381106279087512,2.277977090791863
local_variance,stego,HUGO,0.3,0.1,0.21698633831957692,0.12748088044556344,2.169863383195769
local_variance,stego,HUGO,0.3,0.2,0.3959751423438825,0.11616801579278645,1.9798757117194123
local_variance,stego,HUGO,0.3,0.3,0.5438407243601069,0.10608887249977747,1.8128024145336896
local_variance,stego,HUGO,0.3,0.4,0.6651299541651002,0.09698187453508555,1.6628248854127505
local_variance,stego,HUGO,0.3,0.5,0.7632606217355217,0.08869567489624024,1.5265212434710433
local_variance,stego,HUGO,0.4,0.01,0.021508603831242066,0.17709450591377335,2.1508603831242064
local_variance,stego,HUGO,0.4,0.05,0.10402726956022706,0.17140496681162737,2.080545391204541
local_variance,stego,HUGO,0.4,0.1,0.19989682824615598,0.16474988555733577,1.9989682824615598
local_variance,stego,HUGO,0.4,0.2,0.3704400326885969,0.15258797421274484,1.8522001634429843
local_variance,stego,HUGO,0.4,0.3,0.515834282381296,0.14143656523784698,1.7194476079376535
local_variance,stego,HUGO,0.4,0.4,0.6385932912384621,0.13101387590837132,1.5964832280961552
local_variance,stego,HUGO,0.4,0.5,0.7406695582202095,0.12120977401733399,1.481339116440419
local_variance,stego,HUGO,0.5,0.01,0.019818889641217176,0.21328157191911487,1.9818889641217174
local_variance,stego,HUGO,0.5,0.05,0.09631943341075624,0.20741161211566342,1.9263886682151248
local_variance,stego,HUGO,0.5,0.1,0.18626515510456498,0.2006424353398947,1.8626515510456498
local_variance,stego,HUGO,0.5,0.2,0.3492988940980818,0.18813670106238914,1.7464944704904088
local_variance,stego,HUGO,0.5,0.3,0.4917085318481697,0.17641559325051182,1.639028439493899
local_variance,stego,HUGO,0.5,0.4,0.6149237010645499,0.16520552747525225,1.5373092526613745
local_variance,stego,HUGO,0.5,0.5,0.719752974058809,0.15435530624389648,1.439505948117618
wavelet_energy,stego,HUGO,0.03,0.01,0.016057386154372695,0.006901716901945822,1.6057386154372695
wavelet_energy,stego,HUGO,0.03,0.05,0.07884646156223474,0.006762149996185245,1.5769292312446948
wavelet_energy,stego,HUGO,0.03,0.1,0.1540678673330828,0.006587811856260013,1.540678673330828
wavelet_energy,stego,HUGO,0.03,0.2,0.2941720673256773,0.006253773674874593,1.4708603366283863
wavelet_energy,stego,HUGO,0.03,0.3,0.4217385636261815,0.005946731431913839,1.4057952120872717
wavelet_energy,stego,HUGO,0.03,0.4,0.5373397220129696,0.005655705811669115,1.3433493050324241
wavelet_energy,stego,HUGO,0.03,0.5,0.6416837065009562,0.005379226684570313,1.2833674130019124
wavelet_energy,stego,HUGO,0.05,0.01,0.01570374534484445,0.011954025181228537,1.5703745344844449
wavelet_energy,stego,HUGO,0.05,0.05,0.0771207092280574,0.011710238803692683,1.5424141845611479
wavelet_energy,stego,HUGO,0.05,0.1,0.15095293666721588,0.011431834134431983,1.5095293666721588
wavelet_energy,stego,HUGO,0.05,0.2,0.28921108797446715,0.010896482862537908,1.4460554398723358
wavelet_energy,stego,HUGO,0.05,0.3,0.41578704580580533,0.01039497221621759,1.3859568193526846
wavelet_energy,stego,HUGO,0.05,0.4,0.5311636033981875,0.00991532834881459,1.3279090084954686
wavelet_energy,stego,HUGO,0.05,0.5,0.6359376817535578,0.009457097625732422,1.2718753635071156
wavelet_energy,stego,HUGO,0.1,0.01,0.015032508508257427,0.024970431133155283,1.5032508508257427
wavelet_energy,stego,HUGO,0.1,0.05,0.07421622831071936,0.024614038300144962,1.4843245662143871
wavelet_energy,stego,HUGO,0.1,0.1,0.14567537893884133,0.024109430075532158,1.4567537893884133
