distribution,image_source,method,alpha,probe_budget_fraction,mean_carrier_recall,mean_precision_hit_rate,lift
uniform,,MIPOD,0.03,0.01,0.010019046019160654,0.003018885921404044,1.0019046019160653
uniform,,MIPOD,0.03,0.05,0.05006648915000299,0.003016830701152056,1.0013297830000596
uniform,,MIPOD,0.03,0.1,0.09994816400601186,0.0030111238269626916,0.9994816400601186
uniform,,MIPOD,0.03,0.2,0.20010619501363253,0.003014091437944649,1.0005309750681626
uniform,,MIPOD,0.03,0.3,0.30010465777540296,0.003013645206820696,1.0003488592513432
uniform,,MIPOD,0.03,0.4,0.40019065364070977,0.0030140799938965083,1.0004766341017743
uniform,,MIPOD,0.03,0.5,0.5002962192933348,0.0030144554138183594,1.0005924385866696
uniform,,MIPOD,0.05,0.01,0.00997834132871572,0.005483479587943533,0.997834132871572
uniform,,MIPOD,0.05,0.05,0.050014778653744735,0.005494193942168307,1.0002955730748946
uniform,,MIPOD,0.05,0.1,0.10001609115834738,0.005493259327077135,1.0001609115834738
uniform,,MIPOD,0.05,0.2,0.20017965157822906,0.005496540082778616,1.0008982578911452
uniform,,MIPOD,0.05,0.3,0.3000246603021012,0.005492492656689089,1.000082201007004
uniform,,MIPOD,0.05,0.4,0.3999330929883867,0.005491048847012151,0.9998327324709667
uniform,,MIPOD,0.05,0.5,0.4999698560688362,0.005491558837890625,0.9999397121376724
uniform,,MIPOD,0.1,0.01,0.010006871941453851,0.012631171308660816,1.000687194145385
uniform,,MIPOD,0.1,0.05,0.04999814717982158,0.012619012741283285,0.9999629435964316
uniform,,MIPOD,0.1,0.1,0.10004222099137396,0.012624494544899672,1.0004222099137394
uniform,,MIPOD,0.1,0.2,0.20001658437213943,0.012619721909630167,1.000082921860697
uniform,,MIPOD,0.1,0.3,0.29998738392368207,0.012617952010986356,0.9999579464122736
uniform,,MIPOD,0.1,0.4,0.400047571845338,0.012619520685117016,1.000118929613345
uniform,,MIPOD,0.1,0.5,0.5001054445727691,0.0126206298828125,1.0002108891455381
uniform,,MIPOD,0.2,0.01,0.010002342677448666,0.029782487600152615,1.0002342677448666
uniform,,MIPOD,0.2,0.05,0.050035662632366334,0.029789623865110245,1.0007132526473266
uniform,,MIPOD,0.2,0.1,0.10008022125706331,0.029792637521934843,1.000802212570633
uniform,,MIPOD,0.2,0.2,0.19998250232227896,0.029766529973869426,0.9999125116113947
uniform,,MIPOD,0.2,0.3,0.30003401791643663,0.02977343946695828,1.0001133930547887
uniform,,MIPOD,0.2,0.4,0.4000459518011866,0.029773436456922694,1.0001148795029664
