config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
hugo_alpha0p03,HUGO,0.03,0.01,1.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,2621.0,26210000,360267,36.0267,0.013745402518122852,0.031747484061546524,2621.0,36.0267,0.013745402518122852
hugo_alpha0p03,HUGO,0.03,0.05,5.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,13107.0,131070000,1676511,167.6511,0.012790959029526207,0.1486011468239088,10486.0,131.6244,0.012552393667747472
hugo_alpha0p03,HUGO,0.03,0.1,10.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,26214.0,262140000,3073326,307.3326,0.011723987182421607,0.27413021851931324,13107.0,139.6815,0.010657015335317006
hugo_alpha0p03,HUGO,0.03,0.2,20.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,52429.0,524290000,5238255,523.8255,0.009991140399397282,0.47205628712642667,26215.0,216.4929,0.008258359717718863
hugo_alpha0p03,HUGO,0.03,0.3,30.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,78643.0,786430000,6797675,679.7675,0.008643712727134012,0.6173487689885576,26214.0,155.942,0.0059488059815365835
hugo_alpha0p03,HUGO,0.03,0.4,40.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,104858.0,1048580000,7939192,793.9192,0.007571374620915905,0.7253144124874886,26215.0,114.1517,0.004354442113293916
hugo_alpha0p03,HUGO,0.03,0.5,50.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,131072.0,1310720000,8778981,877.8981,0.006697830963134766,0.8056370438611986,26214.0,83.9789,0.0032035896849011976
hugo_alpha0p05,HUGO,0.05,0.01,1.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,2621.0,26210000,593723,59.3723,0.022652537199542154,0.029592383262688583,2621.0,59.3723,0.022652537199542154
hugo_alpha0p05,HUGO,0.05,0.05,5.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,13107.0,131070000,2782102,278.2102,0.021226077668421453,0.1393169307261071,10486.0,218.8379,0.020869530802975395
hugo_alpha0p05,HUGO,0.05,0.1,10.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,26214.0,262140000,5151298,515.1298,0.019650942244602124,0.2593052821317067,13107.0,236.9196,0.01807580682078279
hugo_alpha0p05,HUGO,0.05,0.2,20.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,52429.0,524290000,8916631,891.6631,0.017007059070361822,0.45293395176318507,26215.0,376.5333,0.01436327674995232
hugo_alpha0p05,HUGO,0.05,0.3,30.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,78643.0,786430000,11704770,1170.477,0.014883422555090725,0.5988939774462647,26214.0,278.8139,0.010636068513008317
hugo_alpha0p05,HUGO,0.05,0.4,40.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,104858.0,1048580000,13783886,1378.3886,0.013145287913177822,0.7093122684873046,26215.0,207.9116,0.00793101659355331
hugo_alpha0p05,HUGO,0.05,0.5,50.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,131072.0,1310720000,15343717,1534.3717,0.011706327056884765,0.7931005699693157,26214.0,155.9831,0.0059503738460364684
hugo_alpha0p1,HUGO,0.1,0.01,1.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,2621.0,26210000,1153430,115.343,0.04400724914154903,0.026379754904040254,2621.0,115.343,0.04400724914154903
hugo_alpha0p1,HUGO,0.1,0.05,5.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,13107.0,131070000,5484366,548.4366,0.04184303044174868,0.12583245870464166,10486.0,433.0936,0.04130207896242609
hugo_alpha0p1,HUGO,0.1,0.1,10.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,26214.0,262140000,10306540,1030.654,0.03931692988479439,0.23738649884060656,13107.0,482.2174,0.03679082932784009
hugo_alpha0p1,HUGO,0.1,0.2,20.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,52429.0,524290000,18264612,1826.4612,0.03483684983501497,0.42367980794508203,26215.0,795.8072,0.030356940682815185
hugo_alpha0p1,HUGO,0.1,0.3,30.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,78643.0,786430000,24402515,2440.2515,0.0310294813270094,0.5695674393883433,26214.0,613.7903,0.023414599069199665
hugo_alpha0p1,HUGO,0.1,0.4,40.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,104858.0,1048580000,29134497,2913.4497,0.027784715520036623,0.6835374790365395,26215.0,473.1982,0.018050665649437345
hugo_alpha0p1,HUGO,0.1,0.5,50.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,131072.0,1310720000,32775185,3277.5185,0.025005481719970704,0.772213462882053,26214.0,364.0688,0.013888334477759978
hugo_alpha0p2,HUGO,0.2,0.01,1.0,10000,262144.0,9321.4033,9321.4033,0.03555833168029785,3.555833168029785,2621.0,26210000,2219064,221.9064,0.08466478443342236,0.02305603948101338,2621.0,221.9064,0.08466478443342236
