config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
hugo_alpha0p03,HUGO,0.03,0.01,1.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,2621.0,26210000,491043,49.1043,0.018734948492941623,0.04231514317491955,2621.0,49.1043,0.018734948492941623
hugo_alpha0p03,HUGO,0.03,0.05,5.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,13107.0,131070000,2166500,216.65,0.016529335469596403,0.1880171276266489,10486.0,167.5457,0.01597803738317757
hugo_alpha0p03,HUGO,0.03,0.1,10.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,26214.0,262140000,3792397,379.2397,0.014467067215991454,0.33199978273717895,13107.0,162.5897,0.01240479896238651
hugo_alpha0p03,HUGO,0.03,0.2,20.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,52429.0,524290000,6092079,609.2079,0.011619674226096246,0.5406056632341705,26215.0,229.9682,0.008772389853137517
hugo_alpha0p03,HUGO,0.03,0.3,30.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,78643.0,786430000,7614934,761.4934,0.009682913927495138,0.6828860097278477,26214.0,152.2855,0.005809319447623407
hugo_alpha0p03,HUGO,0.03,0.4,40.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,104858.0,1048580000,8662909,866.2909,0.008261562303305424,0.7835099090267371,26215.0,104.7975,0.003997615868777418
hugo_alpha0p03,HUGO,0.03,0.5,50.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,131072.0,1310720000,9396376,939.6376,0.007168865966796875,0.8557694985895566,26214.0,73.3467,0.0027979972533760584
hugo_alpha0p05,HUGO,0.05,0.01,1.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,2621.0,26210000,777797,77.7797,0.029675581838992753,0.03815507302050981,2621.0,77.7797,0.029675581838992753
hugo_alpha0p05,HUGO,0.05,0.05,5.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,13107.0,131070000,3509557,350.9557,0.0267762035553521,0.17287241562099895,10486.0,273.176,0.02605149723440778
hugo_alpha0p05,HUGO,0.05,0.1,10.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,26214.0,262140000,6264418,626.4418,0.0238972228580148,0.31042847329520024,13107.0,275.4861,0.0210182421606775
