config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
hugo_alpha0p03,HUGO,0.03,0.01,1.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,2621.0,26210000,362250,36.225,0.013821060663868753,0.03163590922891859,2621.0,36.225,0.013821060663868753
hugo_alpha0p03,HUGO,0.03,0.05,5.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,13107.0,131070000,1701265,170.1265,0.012979819943541616,0.14931512642766206,10486.0,133.9015,0.012769549876025176
hugo_alpha0p03,HUGO,0.03,0.1,10.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,26214.0,262140000,3147641,314.7641,0.012007480735484853,0.2780046351594583,13107.0,144.6376,0.011035141527428093
hugo_alpha0p03,HUGO,0.03,0.2,20.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,52429.0,524290000,5434576,543.4576,0.010365591561921838,0.48526572806294427,26215.0,228.6935,0.008723765020026702
hugo_alpha0p03,HUGO,0.03,0.3,30.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,78643.0,786430000,7099067,709.9067,0.009026953447859315,0.6396216251544513,26214.0,166.4491,0.006349626153963531
hugo_alpha0p03,HUGO,0.03,0.4,40.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,104858.0,1048580000,8310178,831.0178,0.007925173091228137,0.7543376804867021,26215.0,121.1111,0.0046199160785809655
hugo_alpha0p03,HUGO,0.03,0.5,50.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,131072.0,1310720000,9186513,918.6513,0.007008753204345703,0.8390002844937761,26214.0,87.6335,0.0033430037384603642
hugo_alpha0p05,HUGO,0.05,0.01,1.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,2621.0,26210000,592903,59.2903,0.02262125143075162,0.02930510205159088,2621.0,59.2903,0.02262125143075162
hugo_alpha0p05,HUGO,0.05,0.05,5.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,13107.0,131070000,2805190,280.519,0.021402227817196917,0.13925693347054077,10486.0,221.2287,0.0210975300400534
hugo_alpha0p05,HUGO,0.05,0.1,10.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,26214.0,262140000,5240069,524.0069,0.01998958190280003,0.261488972551257,13107.0,243.4879,0.018576935988403143
hugo_alpha0p05,HUGO,0.05,0.2,20.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,52429.0,524290000,9185316,918.5316,0.017519533082835836,0.46271964432667373,26215.0,394.5247,0.015049578485599846
hugo_alpha0p05,HUGO,0.05,0.3,30.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,78643.0,786430000,12149742,1214.9742,0.015449235151253128,0.6171024749140833,26214.0,296.4426,0.011308560311284046
hugo_alpha0p05,HUGO,0.05,0.4,40.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,104858.0,1048580000,14363210,1436.321,0.013697772225295161,0.734654316447576,26215.0,221.3468,0.008443517070379554
hugo_alpha0p05,HUGO,0.05,0.5,50.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,131072.0,1310720000,16001619,1600.1619,0.01220826644897461,0.8233081410558789,26214.0,163.8409,0.006250129701686122
hugo_alpha0p1,HUGO,0.1,0.01,1.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,2621.0,26210000,1142728,114.2728,0.04359893170545594,0.02597576894011712,2621.0,114.2728,0.04359893170545594
hugo_alpha0p1,HUGO,0.1,0.05,5.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,13107.0,131070000,5470235,547.0235,0.04173521782253757,0.12469068056725754,10486.0,432.7507,0.04126937821857715
