config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
hugo_alpha0p03,HUGO,0.03,0.01,1.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,2621.0,26210000,380646,38.0646,0.014522930179320869,0.033302182768157954,2621.0,38.0646,0.014522930179320869
hugo_alpha0p03,HUGO,0.03,0.05,5.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,13107.0,131070000,1784263,178.4263,0.013613054093232622,0.15697667187416933,10486.0,140.3617,0.013385628456990272
hugo_alpha0p03,HUGO,0.03,0.1,10.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,26214.0,262140000,3294323,329.4323,0.012567036697947663,0.29165868224069963,13107.0,151.006,0.011521019302662699
hugo_alpha0p03,HUGO,0.03,0.2,20.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,52429.0,524290000,5656236,565.6236,0.010788372847088444,0.5062249439979539,26215.0,236.1913,0.009009776845317567
hugo_alpha0p03,HUGO,0.03,0.3,30.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,78643.0,786430000,7347295,734.7295,0.009342592474854724,0.6634678205354242,26214.0,169.1059,0.006450976577401389
hugo_alpha0p03,HUGO,0.03,0.4,40.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,104858.0,1048580000,8551663,855.1663,0.00815547025501154,0.777885211406552,26215.0,120.4368,0.0045941941636467665
hugo_alpha0p03,HUGO,0.03,0.5,50.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,131072.0,1310720000,9398157,939.8157,0.007170224761962891,0.8599601451525185,26214.0,84.6494,0.0032291676203555354
hugo_alpha0p05,HUGO,0.05,0.01,1.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,2621.0,26210000,621469,62.1469,0.023711140785959556,0.030790880371075843,2621.0,62.1469,0.023711140785959556
hugo_alpha0p05,HUGO,0.05,0.05,5.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,13107.0,131070000,2937521,293.7521,0.022411848630502784,0.14618452011591895,10486.0,231.6052,0.022087087545298492
hugo_alpha0p05,HUGO,0.05,0.1,10.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,26214.0,262140000,5477380,547.738,0.02089486533913176,0.2739551738607032,13107.0,253.9859,0.01937788204776074
hugo_alpha0p05,HUGO,0.05,0.2,20.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,52429.0,524290000,9561090,956.109,0.018236262373877054,0.4826983603674128,26215.0,408.371,0.01557776082395575
hugo_alpha0p05,HUGO,0.05,0.3,30.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,78643.0,786430000,12581379,1258.1379,0.015998091374947548,0.6403387649031834,26214.0,302.0289,0.011521663996337835
hugo_alpha0p05,HUGO,0.05,0.4,40.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,104858.0,1048580000,14790874,1479.0874,0.01410562284232009,0.757983002835481,26215.0,220.9495,0.008428361625023842
hugo_alpha0p05,HUGO,0.05,0.5,50.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,131072.0,1310720000,16380929,1638.0929,0.012497657012939454,0.8442753855194868,26214.0,159.0055,0.006065671015487908
hugo_alpha0p1,HUGO,0.1,0.01,1.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,2621.0,26210000,1198763,119.8763,0.04573685616177032,0.02730250516672928,2621.0,119.8763,0.04573685616177032
hugo_alpha0p1,HUGO,0.1,0.05,5.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,13107.0,131070000,5726186,572.6186,0.043687998779278245,0.1307829253822919,10486.0,452.7423,0.04317588212855236
hugo_alpha0p1,HUGO,0.1,0.1,10.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,26214.0,262140000,10827590,1082.759,0.04130460822461281,0.24818322259842376,13107.0,510.1404,0.038921217669947356
hugo_alpha0p1,HUGO,0.1,0.2,20.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,52429.0,524290000,19349800,1934.98,0.03690667378740774,0.4466412444489406,26215.0,852.221,0.032508907114247566
