config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
hugo_alpha0p03,HUGO,0.03,0.01,1.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,2621.0,26210000,107738,10.7738,0.00411056848531095,0.009983809663728128,2621.0,10.7738,0.00411056848531095
hugo_alpha0p03,HUGO,0.03,0.05,5.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,13107.0,131070000,540127,54.0127,0.004120904859998474,0.05006798866563404,10486.0,43.2389,0.004123488460804883
hugo_alpha0p03,HUGO,0.03,0.1,10.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,26214.0,262140000,1080475,108.0475,0.0041217479209582665,0.1001657012645011,13107.0,54.0348,0.004122590981918059
hugo_alpha0p03,HUGO,0.03,0.2,20.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,52429.0,524290000,2159722,215.9722,0.004119327089969292,0.20019382916376877,26215.0,107.9247,0.004116906351325576
hugo_alpha0p03,HUGO,0.03,0.3,30.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,78643.0,786430000,3238768,323.8768,0.0041183169512861925,0.3002460080861332,26214.0,107.9046,0.004116296635385671
hugo_alpha0p03,HUGO,0.03,0.4,40.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,104858.0,1048580000,4316869,431.6869,0.004116871387972306,0.4001681577673297,26215.0,107.8101,0.00411253480831585
hugo_alpha0p03,HUGO,0.03,0.5,50.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,131072.0,1310720000,5395694,539.5694,0.0041165878295898435,0.5001402202302323,26214.0,107.8825,0.004115453574425879
hugo_alpha0p05,HUGO,0.05,0.01,1.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,2621.0,26210000,191190,19.119,0.007294544067149943,0.009985258068410118,2621.0,19.119,0.007294544067149943
hugo_alpha0p05,HUGO,0.05,0.05,5.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,13107.0,131070000,956064,95.6064,0.007294300755321583,0.049930531245723685,10486.0,76.4874,0.00729423993896624
hugo_alpha0p05,HUGO,0.05,0.1,10.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,26214.0,262140000,1911869,191.1869,0.007293312733653774,0.0998644164361403,13107.0,95.5805,0.007292324711985963
hugo_alpha0p05,HUGO,0.05,0.2,20.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,52429.0,524290000,3826317,382.6317,0.007298092658643118,0.1998726415274899,26215.0,191.4448,0.007302872401296967
hugo_alpha0p05,HUGO,0.05,0.3,30.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,78643.0,786430000,5741623,574.1623,0.007300869753188459,0.29990906617706653,26214.0,191.5306,0.007306424048218509
hugo_alpha0p05,HUGO,0.05,0.4,40.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,104858.0,1048580000,7657447,765.7447,0.007302682675618457,0.3999772639449021,26215.0,191.5824,0.007308121304596604
hugo_alpha0p05,HUGO,0.05,0.5,50.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,131072.0,1310720000,9575009,957.5009,0.007305152130126953,0.5001451608166725,26214.0,191.7562,0.0073150301365682464
hugo_alpha0p1,HUGO,0.1,0.01,1.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,2621.0,26210000,419937,41.9937,0.016022014498283096,0.010001436166900891,2621.0,41.9937,0.016022014498283096
hugo_alpha0p1,HUGO,0.1,0.05,5.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,13107.0,131070000,2097360,209.736,0.016001831082627604,0.049971778932455364,10486.0,167.7423,0.01599678619111196
hugo_alpha0p1,HUGO,0.1,0.1,10.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,26214.0,262140000,4197837,419.7837,0.016013721675440604,0.1000039389752046,13107.0,210.0477,0.016025612268253605
hugo_alpha0p1,HUGO,0.1,0.2,20.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,52429.0,524290000,8396278,839.6278,0.01601456827328387,0.20000895260603688,26215.0,419.8441,0.016015414838832728
hugo_alpha0p1,HUGO,0.1,0.3,30.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,78643.0,786430000,12589961,1258.9961,0.016009003980010938,0.299896746768371,26214.0,419.3683,0.015997875181200886
hugo_alpha0p1,HUGO,0.1,0.4,40.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,104858.0,1048580000,16786682,1678.6682,0.016008966411718707,0.3998720968166362,26215.0,419.6721,0.016008853709708185
hugo_alpha0p1,HUGO,0.1,0.5,50.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,131072.0,1310720000,20987461,2098.7461,0.016012162017822264,0.4999389932477425,26214.0,420.0779,0.016024944686045626
hugo_alpha0p2,HUGO,0.2,0.01,1.0,10000,262144.0,9321.4033,9321.4033,0.03555833168029785,3.555833168029785,2621.0,26210000,932176,93.2176,0.03556566196108355,0.01000183113719907,2621.0,93.2176,0.03556566196108355
hugo_alpha0p2,HUGO,0.2,0.05,5.0,10000,262144.0,9321.4033,9321.4033,0.03555833168029785,3.555833168029785,13107.0,131070000,4659206,465.9206,0.03554746318760967,0.049985058723278804,10486.0,372.703,0.03554291436200648
hugo_alpha0p2,HUGO,0.2,0.1,10.0,10000,262144.0,9321.4033,9321.4033,0.03555833168029785,3.555833168029785,26214.0,262140000,9324179,932.4179,0.03556946288242924,0.10003284987171582,13107.0,466.4973,0.035591462577248795
hugo_alpha0p2,HUGO,0.2,0.2,20.0,10000,262144.0,9321.4033,9321.4033,0.03555833168029785,3.555833168029785,52429.0,524290000,18643823,1864.3823,0.0355601346582998,0.20001120799129912,26215.0,931.9644,0.03555080679000572
hugo_alpha0p2,HUGO,0.2,0.3,30.0,10000,262144.0,9321.4033,9321.4033,0.03555833168029785,3.555833168029785,78643.0,786430000,27963978,2796.3978,0.035558127233193036,0.299997893353161,26214.0,932.0155,0.03555411230640116
hugo_alpha0p2,HUGO,0.2,0.4,40.0,10000,262144.0,9321.4033,9321.4033,0.03555833168029785,3.555833168029785,104858.0,1048580000,37286473,3728.6473,0.035559016002593986,0.4000123517443319,26215.0,932.2495,0.03556168224299065
hugo_alpha0p2,HUGO,0.2,0.5,50.0,10000,262144.0,9321.4033,9321.4033,0.03555833168029785,3.555833168029785,131072.0,1310720000,46610876,4661.0876,0.035561276245117186,0.5000468478944077,26214.0,932.4403,0.035570317387655453
hugo_alpha0p3,HUGO,0.3,0.01,1.0,10000,262144.0,14997.2973,14997.2973,0.057210149002075196,5.7210149002075195,2621.0,26210000,1498740,149.874,0.05718199160625716,0.009995036113580855,2621.0,149.874,0.05718199160625716
hugo_alpha0p3,HUGO,0.3,0.05,5.0,10000,262144.0,14997.2973,14997.2973,0.057210149002075196,5.7210149002075195,13107.0,131070000,7494627,749.4627,0.057180338750286115,0.04997499543464617,10486.0,599.5887,0.057179925615105855
hugo_alpha0p3,HUGO,0.3,0.1,10.0,10000,262144.0,14997.2973,14997.2973,0.057210149002075196,5.7210149002075195,26214.0,262140000,14990972,1499.0972,0.057186892500190746,0.09995904307249327,13107.0,749.6345,0.05719344625009537
hugo_alpha0p3,HUGO,0.3,0.2,20.0,10000,262144.0,14997.2973,14997.2973,0.057210149002075196,5.7210149002075195,52429.0,524290000,29990585,2999.0585,0.05720228308760419,0.19997246452749737,26215.0,1499.9613,0.05721767308792675
hugo_alpha0p3,HUGO,0.3,0.3,30.0,10000,262144.0,14997.2973,14997.2973,0.057210149002075196,5.7210149002075195,78643.0,786430000,44991510,4499.151,0.057209808883180946,0.29999821043689745,26214.0,1500.0925,0.05722486076142519
hugo_alpha0p3,HUGO,0.3,0.4,40.0,10000,262144.0,14997.2973,14997.2973,0.057210149002075196,5.7210149002075195,104858.0,1048580000,59984963,5998.4963,0.05720590036048752,0.3999719492881982,26215.0,1499.3453,0.05719417509059699
