config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
hugo_alpha0p03,HUGO,0.03,0.01,1.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,2621.0,26210000,180894,18.0894,0.006901716901945822,0.016057386154372695,2621.0,18.0894,0.006901716901945822
hugo_alpha0p03,HUGO,0.03,0.05,5.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,13107.0,131070000,886315,88.6315,0.006762149996185245,0.07884646156223474,10486.0,70.5421,0.006727264924661452
hugo_alpha0p03,HUGO,0.03,0.1,10.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,26214.0,262140000,1726929,172.6929,0.006587811856260013,0.1540678673330828,13107.0,84.0614,0.006413473716334783
hugo_alpha0p03,HUGO,0.03,0.2,20.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,52429.0,524290000,3278791,327.8791,0.006253773674874593,0.2941720673256773,26215.0,155.1862,0.0059197482357428955
hugo_alpha0p03,HUGO,0.03,0.3,30.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,78643.0,786430000,4676688,467.6688,0.005946731431913839,0.4217385636261815,26214.0,139.7897,0.00533263523308156
hugo_alpha0p03,HUGO,0.03,0.4,40.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,104858.0,1048580000,5930460,593.046,0.005655705811669115,0.5373397220129696,26215.0,125.3772,0.004782651153919511
hugo_alpha0p03,HUGO,0.03,0.5,50.0,10000,262144.0,1078.8825,1078.8825,0.004115610122680664,0.4115610122680664,131072.0,1310720000,7050660,705.066,0.005379226684570313,0.6416837065009562,26214.0,112.02,0.004273289082169833
hugo_alpha0p05,HUGO,0.05,0.01,1.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,2621.0,26210000,313315,31.3315,0.011954025181228537,0.01570374534484445,2621.0,31.3315,0.011954025181228537
hugo_alpha0p05,HUGO,0.05,0.05,5.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,13107.0,131070000,1534861,153.4861,0.011710238803692683,0.0771207092280574,10486.0,122.1546,0.011649303833683006
hugo_alpha0p05,HUGO,0.05,0.1,10.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,26214.0,262140000,2996741,299.6741,0.011431834134431983,0.15095293666721588,13107.0,146.188,0.011153429465171283
hugo_alpha0p05,HUGO,0.05,0.2,20.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,52429.0,524290000,5712917,571.2917,0.010896482862537908,0.28921108797446715,26215.0,271.6176,0.010361152012206751
hugo_alpha0p05,HUGO,0.05,0.3,30.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,78643.0,786430000,8174918,817.4918,0.01039497221621759,0.41578704580580533,26214.0,246.2001,0.009391931792172122
hugo_alpha0p05,HUGO,0.05,0.4,40.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,104858.0,1048580000,10397015,1039.7015,0.00991532834881459,0.5311636033981875,26215.0,222.2097,0.008476433339691017
hugo_alpha0p05,HUGO,0.05,0.5,50.0,10000,262144.0,1914.4001,1914.4001,0.007302856826782227,0.7302856826782227,131072.0,1310720000,12395607,1239.5607,0.009457097625732422,0.6359376817535578,26214.0,199.8592,0.007624139772640573
hugo_alpha0p1,HUGO,0.1,0.01,1.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,2621.0,26210000,654475,65.4475,0.024970431133155283,0.015032508508257427,2621.0,65.4475,0.024970431133155283
hugo_alpha0p1,HUGO,0.1,0.05,5.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,13107.0,131070000,3226162,322.6162,0.024614038300144962,0.07421622831071936,10486.0,257.1687,0.024524957085637993
hugo_alpha0p1,HUGO,0.1,0.1,10.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,26214.0,262140000,6320046,632.0046,0.024109430075532158,0.14567537893884133,13107.0,309.3884,0.023604821850919357
hugo_alpha0p1,HUGO,0.1,0.2,20.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,52429.0,524290000,12135416,1213.5416,0.023146380819775318,0.2808341201373067,26215.0,581.537,0.022183368300591266
hugo_alpha0p1,HUGO,0.1,0.3,30.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,78643.0,786430000,17469513,1746.9513,0.022213690983304297,0.4058852394577775,26214.0,533.4097,0.020348275730525674
hugo_alpha0p1,HUGO,0.1,0.4,40.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,104858.0,1048580000,22340856,2234.0856,0.02130581929847985,0.5211036836892967,26215.0,487.1343,0.01858227350753385
hugo_alpha0p1,HUGO,0.1,0.5,50.0,10000,262144.0,4198.0111,4198.0111,0.016014141464233397,1.6014141464233398,131072.0,1310720000,26754746,2675.4746,0.02041225128173828,0.6264345527843004,26214.0,441.389,0.01683791103990234
hugo_alpha0p2,HUGO,0.2,0.01,1.0,10000,262144.0,9321.4033,9321.4033,0.03555833168029785,3.555833168029785,2621.0,26210000,1372368,137.2368,0.052360473101869524,0.0142877040081152,2621.0,137.2368,0.052360473101869524
hugo_alpha0p2,HUGO,0.2,0.05,5.0,10000,262144.0,9321.4033,9321.4033,0.03555833168029785,3.555833168029785,13107.0,131070000,6778386,677.8386,0.051715770199130234,0.07065140200703927,10486.0,540.6018,0.05155462521457182
hugo_alpha0p2,HUGO,0.2,0.1,10.0,10000,262144.0,9321.4033,9321.4033,0.03555833168029785,3.555833168029785,26214.0,262140000,13338437,1333.8437,0.05088287556267643,0.13921529171924868,13107.0,656.0051,0.05004998092622262
