config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
mipod_alpha0p03,MIPOD,0.03,0.01,1.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,2621.0,26210000,133858,13.3858,0.005107134681419305,0.016452532908425528,2621.0,13.3858,0.005107134681419305
mipod_alpha0p03,MIPOD,0.03,0.05,5.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,13107.0,131070000,654392,65.4392,0.004992690928511482,0.08057237384684046,10486.0,52.0534,0.0049640854472630174
mipod_alpha0p03,MIPOD,0.03,0.1,10.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,26214.0,262140000,1273870,127.387,0.004859502555886168,0.15717757875940075,13107.0,61.9478,0.004726314183260852
mipod_alpha0p03,MIPOD,0.03,0.2,20.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,52429.0,524290000,2413724,241.3724,0.004603795609300197,0.2989956993488344,26215.0,113.9854,0.004348098416936869
mipod_alpha0p03,MIPOD,0.03,0.3,30.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,78643.0,786430000,3431043,343.1043,0.004362807878641455,0.42658696097089077,26214.0,101.7319,0.0038808232242313265
mipod_alpha0p03,MIPOD,0.03,0.4,40.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,104858.0,1048580000,4334941,433.4941,0.004134106124473097,0.5408312343538808,26215.0,90.3898,0.0034480183101277895
mipod_alpha0p03,MIPOD,0.03,0.5,50.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,131072.0,1310720000,5136107,513.6107,0.003918538665771484,0.6428138022213803,26214.0,80.1166,0.0030562523842221716
mipod_alpha0p05,MIPOD,0.05,0.01,1.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,2621.0,26210000,243353,24.3353,0.009284738649370468,0.016375122489105054,2621.0,24.3353,0.009284738649370468
mipod_alpha0p05,MIPOD,0.05,0.05,5.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,13107.0,131070000,1190582,119.0582,0.00908355840390631,0.08024716236535828,10486.0,94.7229,0.009033272935342361
mipod_alpha0p05,MIPOD,0.05,0.1,10.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,26214.0,262140000,2319428,231.9428,0.008848050659952698,0.15665613514284854,13107.0,112.8846,0.008612542915999083
