config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
mipod_alpha0p03,MIPOD,0.03,0.01,1.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,2621.0,26210000,110223,11.0223,0.004205379626096909,0.013557063860640659,2621.0,11.0223,0.004205379626096909
mipod_alpha0p03,MIPOD,0.03,0.05,5.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,13107.0,131070000,548134,54.8134,0.004181994354161898,0.06750384535302235,10486.0,43.7911,0.004176149151249285
mipod_alpha0p03,MIPOD,0.03,0.1,10.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,26214.0,262140000,1093575,109.3575,0.004171721217669948,0.13485935367833599,13107.0,54.5441,0.004161448081177997
mipod_alpha0p03,MIPOD,0.03,0.2,20.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,52429.0,524290000,2162399,216.2399,0.004124433042781667,0.2673428895738672,26215.0,106.8824,0.004077146671752813
mipod_alpha0p03,MIPOD,0.03,0.3,30.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,78643.0,786430000,3183599,318.3599,0.004048165761733403,0.3946930651039095,26214.0,102.12,0.003895628290226597
mipod_alpha0p03,MIPOD,0.03,0.4,40.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,104858.0,1048580000,4137388,413.7388,0.0039457056209349795,0.5145222213369408,26215.0,95.3789,0.0036383330154491703
mipod_alpha0p03,MIPOD,0.03,0.5,50.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,131072.0,1310720000,5011244,501.1244,0.0038232757568359373,0.6252141769958153,26214.0,87.3856,0.003333546959639887
mipod_alpha0p05,MIPOD,0.05,0.01,1.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,2621.0,26210000,199458,19.9458,0.007609996184662342,0.013436384946606256,2621.0,19.9458,0.007609996184662342
mipod_alpha0p05,MIPOD,0.05,0.05,5.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,13107.0,131070000,999075,99.9075,0.007622453650720988,0.06735810596599622,10486.0,79.9617,0.007625567423230976
mipod_alpha0p05,MIPOD,0.05,0.1,10.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,26214.0,262140000,1992983,199.2983,0.007602742809185932,0.1345156803056619,13107.0,99.3908,0.007583031967650874
mipod_alpha0p05,MIPOD,0.05,0.2,20.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,52429.0,524290000,3943251,394.3251,0.007521125712868832,0.2668743813261493,26215.0,195.0268,0.007439511729925616
