config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
mipod_alpha0p03,MIPOD,0.03,0.01,1.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,2621.0,26210000,126744,12.6744,0.0048357115604731014,0.01558774211055424,2621.0,12.6744,0.0048357115604731014
mipod_alpha0p03,MIPOD,0.03,0.05,5.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,13107.0,131070000,625210,62.521,0.004770046540016785,0.07700376232209931,10486.0,49.8466,0.004753633415983216
mipod_alpha0p03,MIPOD,0.03,0.1,10.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,26214.0,262140000,1224467,122.4467,0.004671042191195544,0.15104010947640914,13107.0,59.9257,0.004572037842374303
mipod_alpha0p03,MIPOD,0.03,0.2,20.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,52429.0,524290000,2346658,234.6658,0.004475877853859505,0.29046321254450896,26215.0,112.2191,0.004280720961281709
mipod_alpha0p03,MIPOD,0.03,0.3,30.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,78643.0,786430000,3371671,337.1671,0.004287312284628002,0.4187506577922063,26214.0,102.5013,0.003910173952849622
mipod_alpha0p03,MIPOD,0.03,0.4,40.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,104858.0,1048580000,4298163,429.8163,0.004099032024261383,0.5355773917579079,26215.0,92.6492,0.0035342056074766353
mipod_alpha0p03,MIPOD,0.03,0.5,50.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,131072.0,1310720000,5135709,513.5709,0.003918235015869141,0.6419551281279288,26214.0,83.7546,0.003195033188372625
mipod_alpha0p05,MIPOD,0.05,0.01,1.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,2621.0,26210000,231042,23.1042,0.008815032430370087,0.015545770180998534,2621.0,23.1042,0.008815032430370087
mipod_alpha0p05,MIPOD,0.05,0.05,5.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,13107.0,131070000,1137401,113.7401,0.008677813382162204,0.07665197532483449,10486.0,90.6359,0.008643515163074576
mipod_alpha0p05,MIPOD,0.05,0.1,10.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,26214.0,262140000,2227392,222.7392,0.008496955825131608,0.15039615942004472,13107.0,108.9991,0.008316098268101015
