config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
mipod_alpha0p03,MIPOD,0.03,0.01,1.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,2621.0,26210000,127974,12.7974,0.004882640213658909,0.015733912295231096,2621.0,12.7974,0.004882640213658909
mipod_alpha0p03,MIPOD,0.03,0.05,5.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,13107.0,131070000,628853,62.8853,0.0047978408484016175,0.07744186969264055,10486.0,50.0879,0.004776645050543582
mipod_alpha0p03,MIPOD,0.03,0.1,10.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,26214.0,262140000,1231115,123.1115,0.0046964026855878535,0.15189118888650946,13107.0,60.2262,0.0045949645227740905
mipod_alpha0p03,MIPOD,0.03,0.2,20.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,52429.0,524290000,2358584,235.8584,0.004498624806881688,0.29196561548104366,26215.0,112.7469,0.0043008544726301735
mipod_alpha0p03,MIPOD,0.03,0.3,30.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,78643.0,786430000,3386301,338.6301,0.004305915338936714,0.42058949418710906,26214.0,102.7717,0.003920489051651789
mipod_alpha0p03,MIPOD,0.03,0.4,40.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,104858.0,1048580000,4314794,431.4794,0.0041148925213145395,0.5376520502316356,26215.0,92.8493,0.003541838641998855
mipod_alpha0p03,MIPOD,0.03,0.5,50.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,131072.0,1310720000,5149122,514.9122,0.003928468322753906,0.6436149775575676,26214.0,83.4328,0.003182757305256733
mipod_alpha0p05,MIPOD,0.05,0.01,1.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,2621.0,26210000,231782,23.1782,0.008843265929034718,0.015598942417385018,2621.0,23.1782,0.008843265929034718
mipod_alpha0p05,MIPOD,0.05,0.05,5.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,13107.0,131070000,1142812,114.2812,0.008719096665903715,0.0770322922094939,10486.0,91.103,0.008688060270837307
mipod_alpha0p05,MIPOD,0.05,0.1,10.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,26214.0,262140000,2238835,223.8835,0.008540608072022584,0.1511800931334689,13107.0,109.6023,0.008362119478141451
mipod_alpha0p05,MIPOD,0.05,0.2,20.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,52429.0,524290000,4294314,429.4314,0.008190722691640123,0.29103821789377887,26215.0,205.5479,0.007840850658020218
mipod_alpha0p05,MIPOD,0.05,0.3,30.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,78643.0,786430000,6165411,616.5411,0.007839745431888406,0.4193631847198038,26214.0,187.1097,0.007137777523460747
mipod_alpha0p05,MIPOD,0.05,0.4,40.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,104858.0,1048580000,7857891,785.7891,0.007493840241087947,0.5363691489041814,26215.0,169.248,0.006456151058554262
mipod_alpha0p05,MIPOD,0.05,0.5,50.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,131072.0,1310720000,9377744,937.7744,0.00715465087890625,0.6422903012943249,26214.0,151.9853,0.005797867551689937
mipod_alpha0p1,MIPOD,0.1,0.01,1.0,10000,262144.0,3307.8073,3307.8073,0.012618283462524414,1.2618283462524413,2621.0,26210000,529753,52.9753,0.02021186570011446,0.01546652256074469,2621.0,52.9753,0.02021186570011446
mipod_alpha0p1,MIPOD,0.1,0.05,5.0,10000,262144.0,3307.8073,3307.8073,0.012618283462524414,1.2618283462524413,13107.0,131070000,2609978,260.9978,0.01991285572594797,0.07632216847512775,10486.0,208.0225,0.01983811748998665
mipod_alpha0p1,MIPOD,0.1,0.1,10.0,10000,262144.0,3307.8073,3307.8073,0.012618283462524414,1.2618283462524413,26214.0,262140000,5118579,511.8579,0.019526127260242616,0.14994510518699763,13107.0,250.8601,0.01913939879453727
mipod_alpha0p1,MIPOD,0.1,0.2,20.0,10000,262144.0,3307.8073,3307.8073,0.012618283462524414,1.2618283462524413,52429.0,524290000,9826665,982.6665,0.018742804554731162,0.2889992353537399,26215.0,470.8086,0.017959511729925614
mipod_alpha0p1,MIPOD,0.1,0.3,30.0,10000,262144.0,3307.8073,3307.8073,0.012618283462524414,1.2618283462524413,78643.0,786430000,14121612,1412.1612,0.017956603893544244,0.41695231013735146,26214.0,429.4947,0.016384172579537653
mipod_alpha0p1,MIPOD,0.1,0.4,40.0,10000,262144.0,3307.8073,3307.8073,0.012618283462524414,1.2618283462524413,104858.0,1048580000,18015031,1801.5031,0.017180406835911426,0.5339828893714427,26215.0,389.3419,0.014851874880793437
mipod_alpha0p1,MIPOD,0.1,0.5,50.0,10000,262144.0,3307.8073,3307.8073,0.012618283462524414,1.2618283462524413,131072.0,1310720000,21517633,2151.7633,0.016416651153564454,0.6402277775808585,26214.0,350.2602,0.01336157015335317
mipod_alpha0p2,MIPOD,0.2,0.01,1.0,10000,262144.0,7804.0103,7804.0103,0.029769936752319336,2.9769936752319337,2621.0,26210000,1232261,123.2261,0.04701491797024037,0.015210244361761436,2621.0,123.2261,0.04701491797024037
mipod_alpha0p2,MIPOD,0.2,0.05,5.0,10000,262144.0,7804.0103,7804.0103,0.029769936752319336,2.9769936752319337,13107.0,131070000,6070181,607.0181,0.04631251239795529,0.07502945346691399,10486.0,483.792,0.04613694449742514
mipod_alpha0p2,MIPOD,0.2,0.1,10.0,10000,262144.0,7804.0103,7804.0103,0.029769936752319336,2.9769936752319337,26214.0,262140000,11919750,1191.975,0.0454709315632868,0.14759626755529234,13107.0,584.9569,0.044629350728618296
mipod_alpha0p2,MIPOD,0.2,0.2,20.0,10000,262144.0,7804.0103,7804.0103,0.029769936752319336,2.9769936752319337,52429.0,524290000,22949715,2294.9715,0.04377294054816991,0.2852862571457611,26215.0,1102.9965,0.04207501430478734
mipod_alpha0p2,MIPOD,0.2,0.3,30.0,10000,262144.0,7804.0103,7804.0103,0.029769936752319336,2.9769936752319337,78643.0,786430000,33060727,3306.0727,0.04203899520618491,0.4126638737085775,26214.0,1011.1012,0.03857103837644007
mipod_alpha0p2,MIPOD,0.2,0.4,40.0,10000,262144.0,7804.0103,7804.0103,0.029769936752319336,2.9769936752319337,104858.0,1048580000,42263409,4226.3409,0.04030537393427302,0.5297234592444483,26215.0,920.2682,0.03510464238031662
mipod_alpha0p2,MIPOD,0.2,0.5,50.0,10000,262144.0,7804.0103,7804.0103,0.029769936752319336,2.9769936752319337,131072.0,1310720000,50557826,5055.7826,0.0385725601196289,0.6362979119455802,26214.0,829.4417,0.031641172655832765
mipod_alpha0p3,MIPOD,0.3,0.01,1.0,10000,262144.0,13115.2775,13115.2775,0.050030813217163086,5.003081321716309,2621.0,26210000,2030642,203.0642,0.07747584891262878,0.014923546043265191,2621.0,203.0642,0.07747584891262878
mipod_alpha0p3,MIPOD,0.3,0.05,5.0,10000,262144.0,13115.2775,13115.2775,0.050030813217163086,5.003081321716309,13107.0,131070000,10025384,1002.5384,0.07648877698939498,0.07376096323621252,10486.0,799.4742,0.07624205607476636
mipod_alpha0p3,MIPOD,0.3,0.1,10.0,10000,262144.0,13115.2775,13115.2775,0.050030813217163086,5.003081321716309,26214.0,262140000,19720196,1972.0196,0.0752277256427863,0.14530672421443336,13107.0,969.4812,0.07396667429617762
mipod_alpha0p3,MIPOD,0.3,0.2,20.0,10000,262144.0,13115.2775,13115.2775,0.050030813217163086,5.003081321716309,52429.0,524290000,38079669,3807.9669,0.07263092754010185,0.2815600898701018,26215.0,1835.9473,0.07003422849513637
mipod_alpha0p3,MIPOD,0.3,0.3,30.0,10000,262144.0,13115.2775,13115.2775,0.050030813217163086,5.003081321716309,78643.0,786430000,55022374,5502.2374,0.06996474447821167,0.40838252662476626,26214.0,1694.2705,0.064632276646067
mipod_alpha0p3,MIPOD,0.3,0.4,40.0,10000,262144.0,13115.2775,13115.2775,0.050030813217163086,5.003081321716309,104858.0,1048580000,70507762,7050.7762,0.06724118522191917,0.5254097427404066,26215.0,1548.5388,0.059070715239366765
mipod_alpha0p3,MIPOD,0.3,0.5,50.0,10000,262144.0,13115.2775,13115.2775,0.050030813217163086,5.003081321716309,131072.0,1310720000,84524018,8452.4018,0.06448670806884765,0.6324410157692553,26214.0,1401.6256,0.05346858930342566
mipod_alpha0p4,MIPOD,0.4,0.01,1.0,10000,262144.0,19149.705,19149.705,0.0730503273010254,7.305032730102539,2621.0,26210000,2905055,290.5055,0.11083765738267837,0.014651017452056573,2621.0,290.5055,0.11083765738267837
mipod_alpha0p4,MIPOD,0.4,0.05,5.0,10000,262144.0,19149.705,19149.705,0.0730503273010254,7.305032730102539,13107.0,131070000,14351017,1435.1017,0.10949124132143129,0.07243481263282847,10486.0,1144.5962,0.10915470150677092
mipod_alpha0p4,MIPOD,0.4,0.1,10.0,10000,262144.0,19149.705,19149.705,0.0730503273010254,7.305032730102539,26214.0,262140000,28270414,2827.0414,0.10784471656366827,0.14287835076006644,13107.0,1391.9397,0.10619819180590526
mipod_alpha0p4,MIPOD,0.4,0.2,20.0,10000,262144.0,19149.705,19149.705,0.0730503273010254,7.305032730102539,52429.0,524290000,54777642,5477.7642,0.10447966201911156,0.27764768059930495,26215.0,2650.7228,0.10111473583826053
mipod_alpha0p4,MIPOD,0.4,0.3,30.0,10000,262144.0,19149.705,19149.705,0.0730503273010254,7.305032730102539,78643.0,786430000,79401649,7940.1649,0.10096467454191727,0.4037883206819795,26214.0,2462.4007,0.09393456549935149
mipod_alpha0p4,MIPOD,0.4,0.4,40.0,10000,262144.0,19149.705,19149.705,0.0730503273010254,7.305032730102539,104858.0,1048580000,102035895,10203.5895,0.09730864121001737,0.5207803443160679,26215.0,2263.4246,0.08634082014114057
mipod_alpha0p4,MIPOD,0.4,0.5,50.0,10000,262144.0,19149.705,19149.705,0.0730503273010254,7.305032730102539,131072.0,1310720000,122612198,12261.2198,0.09354568328857422,0.6282182769752761,26214.0,2057.6303,0.07849356450751506
mipod_alpha0p5,MIPOD,0.5,0.01,1.0,10000,262144.0,25874.4888,25874.4888,0.09870334167480468,9.870334167480468,2621.0,26210000,3830934,383.0934,0.14616306753147654,0.014335287388893664,2621.0,383.0934,0.14616306753147654
mipod_alpha0p5,MIPOD,0.5,0.05,5.0,10000,262144.0,25874.4888,25874.4888,0.09870334167480468,9.870334167480468,13107.0,131070000,18972201,1897.2201,0.14474861524376287,0.07104628894446566,10486.0,1514.1267,0.14439506961663168
mipod_alpha0p5,MIPOD,0.5,0.1,10.0,10000,262144.0,25874.4888,25874.4888,0.09870334167480468,9.870334167480468,26214.0,262140000,37446618,3744.6618,0.1428496910048066,0.14037128425932416,13107.0,1847.4417,0.1409507667658503
mipod_alpha0p5,MIPOD,0.5,0.2,20.0,10000,262144.0,25874.4888,25874.4888,0.09870334167480468,9.870334167480468,52429.0,524290000,72797072,7279.7072,0.13884886608556332,0.27353876875138894,26215.0,3535.0454,0.13484819378218577
mipod_alpha0p5,MIPOD,0.5,0.3,30.0,10000,262144.0,25874.4888,25874.4888,0.09870334167480468,9.870334167480468,78643.0,786430000,105858019,10585.8019,0.13460577419477895,0.39887360374996544,26214.0,3306.0947,0.12611942854962996
mipod_alpha0p5,MIPOD,0.5,0.4,40.0,10000,262144.0,25874.4888,25874.4888,0.09870334167480468,9.870334167480468,104858.0,1048580000,136447951,13644.7951,0.1301264100020981,0.51576622280955,26215.0,3058.9932,0.11668865916460043
mipod_alpha0p5,MIPOD,0.5,0.5,50.0,10000,262144.0,25874.4888,25874.4888,0.09870334167480468,9.870334167480468,131072.0,1310720000,164406688,16440.6688,0.1254323486328125,0.6236374657790847,26214.0,2795.8737,0.10665574502174412
