config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
mipod_alpha0p03,MIPOD,0.03,0.01,1.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,2621.0,26210000,79125,7.9125,0.003018885921404044,0.010019046019160654,2621.0,7.9125,0.003018885921404044
mipod_alpha0p03,MIPOD,0.03,0.05,5.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,13107.0,131070000,395416,39.5416,0.003016830701152056,0.05006648915000299,10486.0,31.6291,0.0030163169940873543
mipod_alpha0p03,MIPOD,0.03,0.1,10.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,26214.0,262140000,789336,78.9336,0.0030111238269626916,0.09994816400601186,13107.0,39.392,0.003005416952773327
mipod_alpha0p03,MIPOD,0.03,0.2,20.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,52429.0,524290000,1580258,158.0258,0.003014091437944649,0.20010619501363253,26215.0,79.0922,0.003017058935723822
mipod_alpha0p03,MIPOD,0.03,0.3,30.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,78643.0,786430000,2370021,237.0021,0.003013645206820696,0.30010465777540296,26214.0,78.9763,0.0030127527275501643
mipod_alpha0p03,MIPOD,0.03,0.4,40.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,104858.0,1048580000,3160504,316.0504,0.0030140799938965083,0.40019065364070977,26215.0,79.0483,0.00301538432195308
mipod_alpha0p03,MIPOD,0.03,0.5,50.0,10000,262144.0,789.7612,789.7612,0.003012699890136719,0.30126998901367186,131072.0,1310720000,3951107,395.1107,0.0030144554138183594,0.5002962192933348,26214.0,79.0603,0.0030159571221484703
mipod_alpha0p05,MIPOD,0.05,0.01,1.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,2621.0,26210000,143722,14.3722,0.005483479587943533,0.00997834132871572,2621.0,14.3722,0.005483479587943533
mipod_alpha0p05,MIPOD,0.05,0.05,5.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,13107.0,131070000,720124,72.0124,0.005494193942168307,0.050014778653744735,10486.0,57.6402,0.005496872019835972
mipod_alpha0p05,MIPOD,0.05,0.1,10.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,26214.0,262140000,1440003,144.0003,0.005493259327077135,0.10001609115834738,13107.0,71.9879,0.005492324711985962
mipod_alpha0p05,MIPOD,0.05,0.2,20.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,52429.0,524290000,2881781,288.1781,0.005496540082778616,0.20017965157822906,26215.0,144.1778,0.005499820713332062
mipod_alpha0p05,MIPOD,0.05,0.3,30.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,78643.0,786430000,4319461,431.9461,0.005492492656689089,0.3000246603021012,26214.0,143.768,0.005484397650110628
mipod_alpha0p05,MIPOD,0.05,0.4,40.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,104858.0,1048580000,5757804,575.7804,0.005491048847012151,0.3999330929883867,26215.0,143.8343,0.005486717528132748
mipod_alpha0p05,MIPOD,0.05,0.5,50.0,10000,262144.0,1439.645,1439.645,0.005491809844970703,0.5491809844970703,131072.0,1310720000,7197896,719.7896,0.005491558837890625,0.4999698560688362,26214.0,144.0092,0.005493598840314336
mipod_alpha0p1,MIPOD,0.1,0.01,1.0,10000,262144.0,3307.8073,3307.8073,0.012618283462524414,1.2618283462524413,2621.0,26210000,331063,33.1063,0.012631171308660816,0.010006871941453851,2621.0,33.1063,0.012631171308660816
mipod_alpha0p1,MIPOD,0.1,0.05,5.0,10000,262144.0,3307.8073,3307.8073,0.012618283462524414,1.2618283462524413,13107.0,131070000,1653974,165.3974,0.012619012741283285,0.04999814717982158,10486.0,132.2911,0.012615973679191301
mipod_alpha0p1,MIPOD,0.1,0.1,10.0,10000,262144.0,3307.8073,3307.8073,0.012618283462524414,1.2618283462524413,26214.0,262140000,3309385,330.9385,0.012624494544899672,0.10004222099137396,13107.0,165.5411,0.01262997634851606
mipod_alpha0p1,MIPOD,0.1,0.2,20.0,10000,262144.0,3307.8073,3307.8073,0.012618283462524414,1.2618283462524413,52429.0,524290000,6616394,661.6394,0.012619721909630167,0.20001658437213943,26215.0,330.7009,0.01261494945641808
mipod_alpha0p1,MIPOD,0.1,0.3,30.0,10000,262144.0,3307.8073,3307.8073,0.012618283462524414,1.2618283462524413,78643.0,786430000,9923136,992.3136,0.012617952010986356,0.29998738392368207,26214.0,330.6742,0.01261441214618143
mipod_alpha0p1,MIPOD,0.1,0.4,40.0,10000,262144.0,3307.8073,3307.8073,0.012618283462524414,1.2618283462524413,104858.0,1048580000,13232577,1323.2577,0.012619520685117016,0.400047571845338,26215.0,330.9441,0.012624226587831395
mipod_alpha0p1,MIPOD,0.1,0.5,50.0,10000,262144.0,3307.8073,3307.8073,0.012618283462524414,1.2618283462524413,131072.0,1310720000,16542112,1654.2112,0.0126206298828125,0.5001054445727691,26214.0,330.9535,0.012625066758220798
mipod_alpha0p2,MIPOD,0.2,0.01,1.0,10000,262144.0,7804.0103,7804.0103,0.029769936752319336,2.9769936752319337,2621.0,26210000,780599,78.0599,0.029782487600152615,0.010002342677448666,2621.0,78.0599,0.029782487600152615
mipod_alpha0p2,MIPOD,0.2,0.05,5.0,10000,262144.0,7804.0103,7804.0103,0.029769936752319336,2.9769936752319337,13107.0,131070000,3904526,390.4526,0.029789623865110245,0.050035662632366334,10486.0,312.3927,0.02979140759107381
mipod_alpha0p2,MIPOD,0.2,0.1,10.0,10000,262144.0,7804.0103,7804.0103,0.029769936752319336,2.9769936752319337,26214.0,262140000,7809842,780.9842,0.029792637521934843,0.10008022125706331,13107.0,390.5316,0.02979565117875944
mipod_alpha0p2,MIPOD,0.2,0.2,20.0,10000,262144.0,7804.0103,7804.0103,0.029769936752319336,2.9769936752319337,52429.0,524290000,15606294,1560.6294,0.029766529973869426,0.19998250232227896,26215.0,779.6452,0.029740423421705135
mipod_alpha0p2,MIPOD,0.2,0.3,30.0,10000,262144.0,7804.0103,7804.0103,0.029769936752319336,2.9769936752319337,78643.0,786430000,23414726,2341.4726,0.02977343946695828,0.30003401791643663,26214.0,780.8432,0.029787258716716256
mipod_alpha0p2,MIPOD,0.2,0.4,40.0,10000,262144.0,7804.0103,7804.0103,0.029769936752319336,2.9769936752319337,104858.0,1048580000,31219830,3121.983,0.029773436456922694,0.4000459518011866,26215.0,780.5104,0.02977342742704559
mipod_alpha0p2,MIPOD,0.2,0.5,50.0,10000,262144.0,7804.0103,7804.0103,0.029769936752319336,2.9769936752319337,131072.0,1310720000,39024361,3902.4361,0.029773224639892577,0.5000571524904082,26214.0,780.4531,0.029772377355611508
mipod_alpha0p3,MIPOD,0.3,0.01,1.0,10000,262144.0,13115.2775,13115.2775,0.050030813217163086,5.003081321716309,2621.0,26210000,1310482,131.0482,0.04999931323922168,0.009992746071812742,2621.0,131.0482,0.04999931323922168
mipod_alpha0p3,MIPOD,0.3,0.05,5.0,10000,262144.0,13115.2775,13115.2775,0.050030813217163086,5.003081321716309,13107.0,131070000,6558075,655.8075,0.05003490501258869,0.050004799179009796,10486.0,524.7593,0.05004380125882129
mipod_alpha0p3,MIPOD,0.3,0.1,10.0,10000,262144.0,13115.2775,13115.2775,0.050030813217163086,5.003081321716309,26214.0,262140000,13117023,1311.7023,0.05003823529411765,0.10001598618292636,13107.0,655.8948,0.050041565575646596
mipod_alpha0p3,MIPOD,0.3,0.2,20.0,10000,262144.0,13115.2775,13115.2775,0.050030813217163086,5.003081321716309,52429.0,524290000,26236748,2623.6748,0.050042434530507926,0.20005113866251722,26215.0,1311.9725,0.050046633606713714
mipod_alpha0p3,MIPOD,0.3,0.3,30.0,10000,262144.0,13115.2775,13115.2775,0.050030813217163086,5.003081321716309,78643.0,786430000,39353323,3935.3323,0.050040465139936166,0.3000565536885916,26214.0,1311.6575,0.050036526283665214
mipod_alpha0p3,MIPOD,0.3,0.4,40.0,10000,262144.0,13115.2775,13115.2775,0.050030813217163086,5.003081321716309,104858.0,1048580000,52464548,5246.4548,0.050033901085277235,0.40002322249200933,26215.0,1311.1225,0.05001420942208659
mipod_alpha0p3,MIPOD,0.3,0.5,50.0,10000,262144.0,13115.2775,13115.2775,0.050030813217163086,5.003081321716309,131072.0,1310720000,65576513,6557.6513,0.05003090896606446,0.5000013855837865,26214.0,1311.1965,0.050018940260929276
mipod_alpha0p4,MIPOD,0.4,0.01,1.0,10000,262144.0,19149.705,19149.705,0.0730503273010254,7.305032730102539,2621.0,26210000,1915054,191.5054,0.07306577642121327,0.010000172303258401,2621.0,191.5054,0.07306577642121327
mipod_alpha0p4,MIPOD,0.4,0.05,5.0,10000,262144.0,19149.705,19149.705,0.0730503273010254,7.305032730102539,13107.0,131070000,9577375,957.7375,0.07307068741893644,0.05001246892920084,10486.0,766.2321,0.07307191493419798
mipod_alpha0p4,MIPOD,0.4,0.1,10.0,10000,262144.0,19149.705,19149.705,0.0730503273010254,7.305032730102539,26214.0,262140000,19152704,1915.2704,0.07306288242923628,0.10001315009217296,13107.0,957.5329,0.07305507743953613
mipod_alpha0p4,MIPOD,0.4,0.2,20.0,10000,262144.0,19149.705,19149.705,0.0730503273010254,7.305032730102539,52429.0,524290000,38294238,3829.4238,0.0730401838677068,0.199969213836881,26215.0,1914.1534,0.07301748617203892
mipod_alpha0p4,MIPOD,0.4,0.3,30.0,10000,262144.0,19149.705,19149.705,0.0730503273010254,7.305032730102539,78643.0,786430000,57443584,5744.3584,0.07304348003000903,0.29997123926028424,26214.0,1914.9346,0.073050072480354
mipod_alpha0p4,MIPOD,0.4,0.4,40.0,10000,262144.0,19149.705,19149.705,0.0730503273010254,7.305032730102539,104858.0,1048580000,76597671,7659.7671,0.07304895286959508,0.3999933087557549,26215.0,1915.4087,0.07306537097081824
mipod_alpha0p4,MIPOD,0.4,0.5,50.0,10000,262144.0,19149.705,19149.705,0.0730503273010254,7.305032730102539,131072.0,1310720000,95750747,9575.0747,0.07305202255249023,0.5000127199188937,26214.0,1915.3076,0.07306430151827269
mipod_alpha0p5,MIPOD,0.5,0.01,1.0,10000,262144.0,25874.4888,25874.4888,0.09870334167480468,9.870334167480468,2621.0,26210000,2586308,258.6308,0.0986763830599008,0.00999635701613965,2621.0,258.6308,0.0986763830599008
mipod_alpha0p5,MIPOD,0.5,0.05,5.0,10000,262144.0,25874.4888,25874.4888,0.09870334167480468,9.870334167480468,13107.0,131070000,12937486,1293.7486,0.09870669108110171,0.049999772466140055,10486.0,1035.1178,0.09871426664123593
mipod_alpha0p5,MIPOD,0.5,0.1,10.0,10000,262144.0,25874.4888,25874.4888,0.09870334167480468,9.870334167480468,26214.0,262140000,25870507,2587.0507,0.09868965819790951,0.0999832373129737,13107.0,1293.3021,0.09867262531471734
mipod_alpha0p5,MIPOD,0.5,0.2,20.0,10000,262144.0,25874.4888,25874.4888,0.09870334167480468,9.870334167480468,52429.0,524290000,51746156,5174.6156,0.09869758339850085,0.19998802703355623,26215.0,2587.5649,0.09870550829677666
mipod_alpha0p5,MIPOD,0.5,0.3,30.0,10000,262144.0,25874.4888,25874.4888,0.09870334167480468,9.870334167480468,78643.0,786430000,77625688,7762.5688,0.09870641760868736,0.30000850831349196,26214.0,2587.9532,0.09872408636606393
mipod_alpha0p5,MIPOD,0.5,0.4,40.0,10000,262144.0,25874.4888,25874.4888,0.09870334167480468,9.870334167480468,104858.0,1048580000,103508069,10350.8069,0.09871261038738102,0.400041827909881,26215.0,2588.2381,0.09873118825100133
mipod_alpha0p5,MIPOD,0.5,0.5,50.0,10000,262144.0,25874.4888,25874.4888,0.09870334167480468,9.870334167480468,131072.0,1310720000,129377643,12937.7643,0.09870730819702149,0.5000222668645525,26214.0,2586.9574,0.09868609903105212
