config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
hugo_alpha0p03,HUGO,0.03,0.01,1.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,2621.0,262100,4108,41.08,0.015673407096528046,0.035119505310751295,2621.0,41.08,0.015673407096528046
hugo_alpha0p03,HUGO,0.03,0.05,5.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,13107.0,1310700,18812,188.12,0.014352635996032655,0.16109513861544028,10486.0,147.04,0.014022506198741179
hugo_alpha0p03,HUGO,0.03,0.1,10.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,26214.0,2621400,34111,341.11,0.01301251239795529,0.29431860787430053,13107.0,152.99,0.011672388799877927
hugo_alpha0p03,HUGO,0.03,0.2,20.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,52429.0,5242900,56742,567.42,0.010822636327223484,0.4951286650049779,26215.0,226.31,0.008632843791722295
hugo_alpha0p03,HUGO,0.03,0.3,30.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,78643.0,7864300,72665,726.65,0.009239856058390448,0.6391762076545267,26214.0,159.23,0.006074235141527427
hugo_alpha0p03,HUGO,0.03,0.4,40.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,104858.0,10485800,84156,841.56,0.00802571096149078,0.7450820042477004,26215.0,114.91,0.004383368300591264
hugo_alpha0p03,HUGO,0.03,0.5,50.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,131072.0,13107200,92404,924.04,0.00704986572265625,0.8217421817819764,26214.0,82.48,0.0031464103150988017
hugo_alpha0p05,HUGO,0.05,0.01,1.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,2621.0,262100,6540,65.4,0.024952308279282714,0.03170328744406355,2621.0,65.4,0.024952308279282714
hugo_alpha0p05,HUGO,0.05,0.05,5.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,13107.0,1310700,30613,306.13,0.023356221866178375,0.14905380270262772,10486.0,240.73,0.022957276368491323
hugo_alpha0p05,HUGO,0.05,0.1,10.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,26214.0,2621400,56282,562.82,0.021470206759746698,0.27576357677437985,13107.0,256.69,0.01958419165331502
