config_id,record_name,record_path,cover_relative_path,stego_relative_path,method,alpha,record_seed,probe_seed,probe_distribution,probe_image_source,image_height,image_width,total_pixels,carrier_pixels,used_pixels,used_pixel_fraction,used_pixel_percentage,probe_budget_fraction,probe_budget_percentage,probe_budget_pixels,unique_probed_pixels,guessed_carrier_pixels,precision_hit_rate,carrier_recall,incremental_probe_pixels,incremental_guessed_pixels,incremental_precision_hit_rate
hugo_alpha0p03,00001_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00001_changes.npz,00001.tif,00001_stego.png,HUGO,0.03,74309855,4074602367,local_variance,stego,512,512,262144,1050,1050,0.00400543212890625,0.400543212890625,0.01,1.0,2621,2621,32,0.012209080503624571,0.030476190476190476,2621,32,0.012209080503624571
hugo_alpha0p03,00001_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00001_changes.npz,00001.tif,00001_stego.png,HUGO,0.03,74309855,4074602367,local_variance,stego,512,512,262144,1050,1050,0.00400543212890625,0.400543212890625,0.05,5.0,13107,13107,159,0.012130922407873656,0.15142857142857144,10486,127,0.012111386610719053
hugo_alpha0p03,00001_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00001_changes.npz,00001.tif,00001_stego.png,HUGO,0.03,74309855,4074602367,local_variance,stego,512,512,262144,1050,1050,0.00400543212890625,0.400543212890625,0.1,10.0,26214,26214,304,0.011596856641489281,0.2895238095238095,13107,145,0.011062790875104906
hugo_alpha0p03,00001_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00001_changes.npz,00001.tif,00001_stego.png,HUGO,0.03,74309855,4074602367,local_variance,stego,512,512,262144,1050,1050,0.00400543212890625,0.400543212890625,0.2,20.0,52429,52429,541,0.01031871674073509,0.5152380952380953,26215,237,0.009040625596032806
hugo_alpha0p03,00001_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00001_changes.npz,00001.tif,00001_stego.png,HUGO,0.03,74309855,4074602367,local_variance,stego,512,512,262144,1050,1050,0.00400543212890625,0.400543212890625,0.3,30.0,78643,78643,705,0.008964561372277254,0.6714285714285714,26214,164,0.006256198977645533
hugo_alpha0p03,00001_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00001_changes.npz,00001.tif,00001_stego.png,HUGO,0.03,74309855,4074602367,local_variance,stego,512,512,262144,1050,1050,0.00400543212890625,0.400543212890625,0.4,40.0,104858,104858,833,0.007944076751416201,0.7933333333333333,26215,128,0.004882700743848942
hugo_alpha0p03,00001_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00001_changes.npz,00001.tif,00001_stego.png,HUGO,0.03,74309855,4074602367,local_variance,stego,512,512,262144,1050,1050,0.00400543212890625,0.400543212890625,0.5,50.0,131072,131072,932,0.007110595703125,0.8876190476190476,26214,99,0.0037766079194323644
hugo_alpha0p03,00002_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00002_changes.npz,00002.tif,00002_stego.png,HUGO,0.03,2903982999,2812764128,local_variance,stego,512,512,262144,1496,1496,0.005706787109375,0.5706787109375,0.01,1.0,2621,2621,144,0.05494086226631057,0.0962566844919786,2621,144,0.05494086226631057
hugo_alpha0p03,00002_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00002_changes.npz,00002.tif,00002_stego.png,HUGO,0.03,2903982999,2812764128,local_variance,stego,512,512,262144,1496,1496,0.005706787109375,0.5706787109375,0.05,5.0,13107,13107,637,0.048599984740978104,0.42580213903743314,10486,493,0.04701506770932672
hugo_alpha0p03,00002_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00002_changes.npz,00002.tif,00002_stego.png,HUGO,0.03,2903982999,2812764128,local_variance,stego,512,512,262144,1496,1496,0.005706787109375,0.5706787109375,0.1,10.0,26214,26214,1038,0.03959716182192721,0.6938502673796791,13107,401,0.030594338902876324
hugo_alpha0p03,00002_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00002_changes.npz,00002.tif,00002_stego.png,HUGO,0.03,2903982999,2812764128,local_variance,stego,512,512,262144,1496,1496,0.005706787109375,0.5706787109375,0.2,20.0,52429,52429,1382,0.026359457552118104,0.9237967914438503,26215,344,0.01312225824909403
hugo_alpha0p03,00002_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00002_changes.npz,00002.tif,00002_stego.png,HUGO,0.03,2903982999,2812764128,local_variance,stego,512,512,262144,1496,1496,0.005706787109375,0.5706787109375,0.3,30.0,78643,78643,1464,0.018615769998601275,0.9786096256684492,26214,82,0.0031280994888227666
hugo_alpha0p03,00002_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00002_changes.npz,00002.tif,00002_stego.png,HUGO,0.03,2903982999,2812764128,local_variance,stego,512,512,262144,1496,1496,0.005706787109375,0.5706787109375,0.4,40.0,104858,104858,1491,0.014219229815560092,0.9966577540106952,26215,27,0.001029944688155636
hugo_alpha0p03,00002_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00002_changes.npz,00002.tif,00002_stego.png,HUGO,0.03,2903982999,2812764128,local_variance,stego,512,512,262144,1496,1496,0.005706787109375,0.5706787109375,0.5,50.0,131072,131072,1495,0.01140594482421875,0.9993315508021391,26214,4,0.00015259021896696422
hugo_alpha0p03,00003_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00003_changes.npz,00003.tif,00003_stego.png,HUGO,0.03,3045531764,446628910,local_variance,stego,512,512,262144,945,945,0.003604888916015625,0.3604888916015625,0.01,1.0,2621,2621,14,0.00534147272033575,0.014814814814814815,2621,14,0.00534147272033575
hugo_alpha0p03,00003_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00003_changes.npz,00003.tif,00003_stego.png,HUGO,0.03,3045531764,446628910,local_variance,stego,512,512,262144,945,945,0.003604888916015625,0.3604888916015625,0.05,5.0,13107,13107,85,0.00648508430609598,0.08994708994708994,10486,71,0.006770932672134274
hugo_alpha0p03,00003_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00003_changes.npz,00003.tif,00003_stego.png,HUGO,0.03,3045531764,446628910,local_variance,stego,512,512,262144,945,945,0.003604888916015625,0.3604888916015625,0.1,10.0,26214,26214,179,0.006828412298771649,0.18941798941798943,13107,94,0.007171740291447318
hugo_alpha0p03,00003_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00003_changes.npz,00003.tif,00003_stego.png,HUGO,0.03,3045531764,446628910,local_variance,stego,512,512,262144,945,945,0.003604888916015625,0.3604888916015625,0.2,20.0,52429,52429,332,0.006332373304850369,0.3513227513227513,26215,153,0.0058363532328819375
hugo_alpha0p03,00003_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00003_changes.npz,00003.tif,00003_stego.png,HUGO,0.03,3045531764,446628910,local_variance,stego,512,512,262144,945,945,0.003604888916015625,0.3604888916015625,0.3,30.0,78643,78643,459,0.0058365016593975305,0.4857142857142857,26214,127,0.004844739452201114
hugo_alpha0p03,00003_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00003_changes.npz,00003.tif,00003_stego.png,HUGO,0.03,3045531764,446628910,local_variance,stego,512,512,262144,945,945,0.003604888916015625,0.3604888916015625,0.4,40.0,104858,104858,581,0.005540826641744073,0.6148148148148148,26215,122,0.004653824146481023
hugo_alpha0p03,00003_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00003_changes.npz,00003.tif,00003_stego.png,HUGO,0.03,3045531764,446628910,local_variance,stego,512,512,262144,945,945,0.003604888916015625,0.3604888916015625,0.5,50.0,131072,131072,697,0.00531768798828125,0.7375661375661375,26214,116,0.004425116350041962
hugo_alpha0p03,00004_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00004_changes.npz,00004.tif,00004_stego.png,HUGO,0.03,2632847373,211945624,local_variance,stego,512,512,262144,861,861,0.003284454345703125,0.3284454345703125,0.01,1.0,2621,2621,31,0.011827546737886304,0.036004645760743324,2621,31,0.011827546737886304
hugo_alpha0p03,00004_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00004_changes.npz,00004.tif,00004_stego.png,HUGO,0.03,2632847373,211945624,local_variance,stego,512,512,262144,861,861,0.003284454345703125,0.3284454345703125,0.05,5.0,13107,13107,128,0.00976577401388571,0.148664343786295,10486,97,0.009250429143620065
hugo_alpha0p03,00004_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00004_changes.npz,00004.tif,00004_stego.png,HUGO,0.03,2632847373,211945624,local_variance,stego,512,512,262144,861,861,0.003284454345703125,0.3284454345703125,0.1,10.0,26214,26214,235,0.008964675364309147,0.27293844367015097,13107,107,0.008163576714732586
hugo_alpha0p03,00004_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00004_changes.npz,00004.tif,00004_stego.png,HUGO,0.03,2632847373,211945624,local_variance,stego,512,512,262144,861,861,0.003284454345703125,0.3284454345703125,0.2,20.0,52429,52429,399,0.007610292013961739,0.4634146341463415,26215,164,0.006255960328056457
hugo_alpha0p03,00004_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00004_changes.npz,00004.tif,00004_stego.png,HUGO,0.03,2632847373,211945624,local_variance,stego,512,512,262144,861,861,0.003284454345703125,0.3284454345703125,0.3,30.0,78643,78643,507,0.006446854774105769,0.5888501742160279,26214,108,0.004119935912108034
hugo_alpha0p03,00004_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00004_changes.npz,00004.tif,00004_stego.png,HUGO,0.03,2632847373,211945624,local_variance,stego,512,512,262144,861,861,0.003284454345703125,0.3284454345703125,0.4,40.0,104858,104858,583,0.0055599000553129,0.6771196283391405,26215,76,0.002899103566660309
hugo_alpha0p03,00004_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00004_changes.npz,00004.tif,00004_stego.png,HUGO,0.03,2632847373,211945624,local_variance,stego,512,512,262144,861,861,0.003284454345703125,0.3284454345703125,0.5,50.0,131072,131072,640,0.0048828125,0.743321718931475,26214,57,0.00217441062027924
hugo_alpha0p03,00005_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00005_changes.npz,00005.tif,00005_stego.png,HUGO,0.03,1319257761,382125498,local_variance,stego,512,512,262144,1261,1261,0.004810333251953125,0.4810333251953125,0.01,1.0,2621,2621,59,0.022510492178557804,0.046788263283108644,2621,59,0.022510492178557804
hugo_alpha0p03,00005_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00005_changes.npz,00005.tif,00005_stego.png,HUGO,0.03,1319257761,382125498,local_variance,stego,512,512,262144,1261,1261,0.004810333251953125,0.4810333251953125,0.05,5.0,13107,13107,292,0.022278171969176776,0.2315622521808089,10486,233,0.022220102994468815
hugo_alpha0p03,00005_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00005_changes.npz,00005.tif,00005_stego.png,HUGO,0.03,1319257761,382125498,local_variance,stego,512,512,262144,1261,1261,0.004810333251953125,0.4810333251953125,0.1,10.0,26214,26214,590,0.022507057297627222,0.46788263283108644,13107,298,0.022735942626077667
hugo_alpha0p03,00005_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00005_changes.npz,00005.tif,00005_stego.png,HUGO,0.03,1319257761,382125498,local_variance,stego,512,512,262144,1261,1261,0.004810333251953125,0.4810333251953125,0.2,20.0,52429,52429,1045,0.019931717179423603,0.8287073750991277,26215,455,0.017356475300400534
hugo_alpha0p03,00005_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00005_changes.npz,00005.tif,00005_stego.png,HUGO,0.03,1319257761,382125498,local_variance,stego,512,512,262144,1261,1261,0.004810333251953125,0.4810333251953125,0.3,30.0,78643,78643,1224,0.015564004425060082,0.9706582077716098,26214,179,0.006828412298771649
hugo_alpha0p03,00005_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00005_changes.npz,00005.tif,00005_stego.png,HUGO,0.03,1319257761,382125498,local_variance,stego,512,512,262144,1261,1261,0.004810333251953125,0.4810333251953125,0.4,40.0,104858,104858,1257,0.011987640428007401,0.9968279143536876,26215,33,0.0012588212855235551
hugo_alpha0p03,00005_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00005_changes.npz,00005.tif,00005_stego.png,HUGO,0.03,1319257761,382125498,local_variance,stego,512,512,262144,1261,1261,0.004810333251953125,0.4810333251953125,0.5,50.0,131072,131072,1261,0.00962066650390625,1.0,26214,4,0.00015259021896696422
