config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
hugo_alpha0p03,HUGO,0.03,0.01,1.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,2621.0,262100,5575,55.75,0.021270507439908427,0.046127426156815365,2621.0,55.75,0.021270507439908427
hugo_alpha0p03,HUGO,0.03,0.05,5.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,13107.0,1310700,24127,241.27,0.018407721065079728,0.20219792593097174,10486.0,185.52,0.01769216097654015
hugo_alpha0p03,HUGO,0.03,0.1,10.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,26214.0,2621400,41503,415.03,0.015832379644464788,0.3510373288645432,13107.0,173.76,0.013257038223849849
hugo_alpha0p03,HUGO,0.03,0.2,20.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,52429.0,5242900,65855,658.55,0.012560796505750633,0.565344535187603,26215.0,243.52,0.009289338165172611
hugo_alpha0p03,HUGO,0.03,0.3,30.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,78643.0,7864300,81331,813.31,0.010341797744236617,0.7063727871393091,26214.0,154.76,0.005903715571831844
hugo_alpha0p03,HUGO,0.03,0.4,40.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,104858.0,10485800,91587,915.87,0.008734383642640522,0.8029299439884567,26215.0,102.56,0.003912263971008964
hugo_alpha0p03,HUGO,0.03,0.5,50.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,131072.0,13107200,98728,987.28,0.0075323486328125,0.8719473206436694,26214.0,71.41,0.0027241168841077284
hugo_alpha0p05,HUGO,0.05,0.01,1.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,2621.0,262100,8731,87.31,0.03331171308660816,0.04167629108619247,2621.0,87.31,0.03331171308660816
hugo_alpha0p05,HUGO,0.05,0.05,5.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,13107.0,1310700,38385,383.85,0.029285877775234604,0.18383363844622166,10486.0,296.54,0.028279610909784477
hugo_alpha0p05,HUGO,0.05,0.1,10.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,26214.0,2621400,67657,676.57,0.02580949111161974,0.32598624900804246,13107.0,292.72,0.02233310444800488
hugo_alpha0p05,HUGO,0.05,0.2,20.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,52429.0,5242900,110428,1104.28,0.021062389135783635,0.5378220912212935,26215.0,427.71,0.016315468243372114
hugo_alpha0p05,HUGO,0.05,0.3,30.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,78643.0,7864300,138779,1387.79,0.017646707272103046,0.683069664635402,26214.0,283.51,0.010815213244831003
hugo_alpha0p05,HUGO,0.05,0.4,40.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,104858.0,10485800,158068,1580.68,0.015074481679986264,0.7846617599505479,26215.0,192.89,0.007358001144382986
hugo_alpha0p05,HUGO,0.05,0.5,50.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,131072.0,13107200,171714,1717.14,0.013100738525390626,0.8586480225730244,26214.0,136.46,0.005205615320057984
hugo_alpha0p1,HUGO,0.1,0.01,1.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,2621.0,262100,15618,156.18,0.059587943533002674,0.03476493572585055,2621.0,156.18,0.059587943533002674
hugo_alpha0p1,HUGO,0.1,0.05,5.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,13107.0,1310700,71362,713.62,0.05444571602960249,0.15909715508251276,10486.0,557.44,0.053160404348655356
