config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
hugo_alpha0p03,HUGO,0.03,0.01,1.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,2621.0,262100,4306,43.06,0.016428843952689814,0.03637485927023148,2621.0,43.06,0.016428843952689814
hugo_alpha0p03,HUGO,0.03,0.05,5.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,13107.0,1310700,20011,200.11,0.015267414358739604,0.17026154365022234,10486.0,157.05,0.014977112340263207
hugo_alpha0p03,HUGO,0.03,0.1,10.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,26214.0,2621400,36454,364.54,0.013906309605554286,0.3121387080742314,13107.0,164.43,0.012545204852368963
hugo_alpha0p03,HUGO,0.03,0.2,20.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,52429.0,5242900,61243,612.43,0.011681130671956362,0.531070596320908,26215.0,247.89,0.009456036620255579
hugo_alpha0p03,HUGO,0.03,0.3,30.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,78643.0,7864300,78584,785.84,0.009992497742965043,0.6881113154693943,26214.0,173.41,0.006615167467765315
hugo_alpha0p03,HUGO,0.03,0.4,40.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,104858.0,10485800,90510,905.1,0.008631673310572394,0.7984038640080581,26215.0,119.26,0.004549303833683006
hugo_alpha0p03,HUGO,0.03,0.5,50.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,131072.0,13107200,98831,988.31,0.007540206909179687,0.8767288834917195,26214.0,83.21,0.003174258030060273
hugo_alpha0p05,HUGO,0.05,0.01,1.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,2621.0,262100,6844,68.44,0.026112170927127053,0.03298149448318975,2621.0,68.44,0.026112170927127053
hugo_alpha0p05,HUGO,0.05,0.05,5.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,13107.0,1310700,32180,321.8,0.024551766231784535,0.15585905365785954,10486.0,253.36,0.024161739462139998
hugo_alpha0p05,HUGO,0.05,0.1,10.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,26214.0,2621400,59879,598.79,0.022842374303807124,0.291566362476192,13107.0,276.99,0.021132982375829706
hugo_alpha0p05,HUGO,0.05,0.2,20.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,52429.0,5242900,102859,1028.59,0.01961872246275916,0.5062533128433404,26215.0,429.8,0.016395193591455276
hugo_alpha0p05,HUGO,0.05,0.3,30.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,78643.0,7864300,133595,1335.95,0.01698752590821815,0.6631012590406314,26214.0,307.36,0.01172503242542153
hugo_alpha0p05,HUGO,0.05,0.4,40.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,104858.0,10485800,155923,1559.23,0.014869919319460608,0.7793409489043264,26215.0,223.28,0.008517261110051496
hugo_alpha0p05,HUGO,0.05,0.5,50.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,131072.0,13107200,171358,1713.58,0.013073577880859374,0.8611862211611601,26214.0,154.35,0.005888075074387731
hugo_alpha0p1,HUGO,0.1,0.01,1.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,2621.0,262100,13105,131.05,0.05,0.02936652407785942,2621.0,131.05,0.05
hugo_alpha0p1,HUGO,0.1,0.05,5.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,13107.0,1310700,62028,620.28,0.04732433051041427,0.13924718585075513,10486.0,489.23,0.046655540720961286
hugo_alpha0p1,HUGO,0.1,0.1,10.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,26214.0,2621400,116245,1162.45,0.044344625009536884,0.26192983176740703,13107.0,542.17,0.04136491950865948
hugo_alpha0p1,HUGO,0.1,0.2,20.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,52429.0,5242900,205180,2051.8,0.039134829960518036,0.46585999324824123,26215.0,889.35,0.03392523364485981
hugo_alpha0p1,HUGO,0.1,0.3,30.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,78643.0,7864300,273039,2730.39,0.03471879251808808,0.6240153407247007,26214.0,678.59,0.02588654917219806
hugo_alpha0p1,HUGO,0.1,0.4,40.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,104858.0,10485800,323822,3238.22,0.030881954643422537,0.7443203590111246,26215.0,507.83,0.01937173374022506
hugo_alpha0p1,HUGO,0.1,0.5,50.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,131072.0,13107200,360846,3608.46,0.027530364990234375,0.8335970353676697,26214.0,370.24,0.014123750667582207
hugo_alpha0p2,HUGO,0.2,0.01,1.0,100,262144.0,9448.82,9448.82,0.03604438781738281,3.6044387817382812,2621.0,262100,24400,244.0,0.09309423884013737,0.024990497941830427,2621.0,244.0,0.09309423884013737
hugo_alpha0p2,HUGO,0.2,0.05,5.0,100,262144.0,9448.82,9448.82,0.03604438781738281,3.6044387817382812,13107.0,1310700,117098,1170.98,0.08934004730296786,0.12023764472499698,10486.0,926.98,0.08840167842838069
hugo_alpha0p2,HUGO,0.2,0.1,10.0,100,262144.0,9448.82,9448.82,0.03604438781738281,3.6044387817382812,26214.0,2621400,223237,2232.37,0.08515945677882046,0.22959890305851705,13107.0,1061.39,0.08097886625467306
hugo_alpha0p2,HUGO,0.2,0.2,20.0,100,262144.0,9448.82,9448.82,0.03604438781738281,3.6044387817382812,52429.0,5242900,406161,4061.61,0.07746876728528104,0.4195666870996041,26215.0,1829.24,0.06977837116154874
hugo_alpha0p2,HUGO,0.2,0.3,30.0,100,262144.0,9448.82,9448.82,0.03604438781738281,3.6044387817382812,78643.0,7864300,553591,5535.91,0.07039291481759341,0.5743747709101483,26214.0,1474.3,0.05624093995574883
