config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
hugo_alpha0p03,HUGO,0.03,0.01,1.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,2621.0,262100,4072,40.72,0.015536054940862265,0.034196889660069736,2621.0,40.72,0.015536054940862265
hugo_alpha0p03,HUGO,0.03,0.05,5.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,13107.0,1310700,18836,188.36,0.01437094682230869,0.1601197433848277,10486.0,147.64,0.014079725348083159
hugo_alpha0p03,HUGO,0.03,0.1,10.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,26214.0,2621400,34591,345.91,0.013195620660715645,0.29627090276465656,13107.0,157.55,0.012020294499122603
hugo_alpha0p03,HUGO,0.03,0.2,20.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,52429.0,5242900,58938,589.38,0.011241488489194911,0.5102858106769234,26215.0,243.47,0.009287430860194545
hugo_alpha0p03,HUGO,0.03,0.3,30.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,78643.0,7864300,76075,760.75,0.009673461083631093,0.6651538159159377,26214.0,171.37,0.0065373464560921635
hugo_alpha0p03,HUGO,0.03,0.4,40.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,104858.0,10485800,88161,881.61,0.008407656068206528,0.7766342021723078,26215.0,120.86,0.004610337592981117
hugo_alpha0p03,HUGO,0.03,0.5,50.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,131072.0,13107200,96758,967.58,0.007382049560546875,0.8573759119160177,26214.0,85.97,0.0032795452811474777
hugo_alpha0p05,HUGO,0.05,0.01,1.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,2621.0,262100,6454,64.54,0.02462418924074781,0.0311077468547674,2621.0,64.54,0.02462418924074781
hugo_alpha0p05,HUGO,0.05,0.05,5.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,13107.0,1310700,30576,305.76,0.023327992675669488,0.14802243080914798,10486.0,241.22,0.02300400534045394
hugo_alpha0p05,HUGO,0.05,0.1,10.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,26214.0,2621400,57127,571.27,0.021792553597314406,0.2780324254433053,13107.0,265.51,0.02025711451895933
hugo_alpha0p05,HUGO,0.05,0.2,20.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,52429.0,5242900,98577,985.77,0.018801998893742015,0.48416536558607426,26215.0,414.5,0.015811558268167082
hugo_alpha0p05,HUGO,0.05,0.3,30.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,78643.0,7864300,129024,1290.24,0.01640629172335745,0.6392261401977457,26214.0,304.47,0.011614785992217897
hugo_alpha0p05,HUGO,0.05,0.4,40.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,104858.0,10485800,151154,1511.54,0.014415113772911938,0.7541440841029577,26215.0,221.3,0.008441731832920085
hugo_alpha0p05,HUGO,0.05,0.5,50.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,131072.0,13107200,167506,1675.06,0.012779693603515625,0.8405354443437814,26214.0,163.52,0.006237888151369497
hugo_alpha0p1,HUGO,0.1,0.01,1.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,2621.0,262100,12370,123.7,0.047195726821823734,0.027670363715399483,2621.0,123.7,0.047195726821823734
