config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
hugo_alpha0p03,HUGO,0.03,0.01,1.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,2621.0,262100,1094,10.94,0.00417397939717665,0.009808871899409868,2621.0,10.94,0.00417397939717665
hugo_alpha0p03,HUGO,0.03,0.05,5.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,13107.0,1310700,5619,56.19,0.004287022201876859,0.050498109775328155,10486.0,45.25,0.004315277512874308
hugo_alpha0p03,HUGO,0.03,0.1,10.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,26214.0,2621400,11103,111.03,0.0042355230029755084,0.09977663018358596,13107.0,54.84,0.004184023804074158
hugo_alpha0p03,HUGO,0.03,0.2,20.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,52429.0,5242900,22166,221.66,0.004227812851666063,0.19922280591109381,26215.0,110.63,0.004220102994468816
hugo_alpha0p03,HUGO,0.03,0.3,30.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,78643.0,7864300,33293,332.93,0.004233434634996122,0.29885104911206356,26214.0,111.27,0.0042446784161135264
hugo_alpha0p03,HUGO,0.03,0.4,40.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,104858.0,10485800,44197,441.97,0.0042149382975071046,0.396758891484034,26215.0,109.04,0.004159450696166317
hugo_alpha0p03,HUGO,0.03,0.5,50.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,131072.0,13107200,55267,552.67,0.004216537475585937,0.49609873043232466,26214.0,110.7,0.0042229343099107345
hugo_alpha0p05,HUGO,0.05,0.01,1.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,2621.0,262100,1964,19.64,0.0074933231590995795,0.009986853236245435,2621.0,19.64,0.0074933231590995795
hugo_alpha0p05,HUGO,0.05,0.05,5.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,13107.0,1310700,9816,98.16,0.007489127946898602,0.04993498166170718,10486.0,78.52,0.007488079343887087
hugo_alpha0p05,HUGO,0.05,0.1,10.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,26214.0,2621400,19670,196.7,0.007503624017700464,0.10012120789900956,13107.0,98.54,0.007518120088502327
hugo_alpha0p05,HUGO,0.05,0.2,20.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,52429.0,5242900,39162,391.62,0.0074695302218238,0.19927563678421722,26215.0,194.92,0.007435437726492466
hugo_alpha0p05,HUGO,0.05,0.3,30.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,78643.0,7864300,58600,586.0,0.007451394275396413,0.29808869301080004,26214.0,194.38,0.007415121690699625
hugo_alpha0p05,HUGO,0.05,0.4,40.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,104858.0,10485800,78252,782.52,0.007462663792939021,0.39803245817665717,26215.0,196.52,0.007496471485790576
hugo_alpha0p05,HUGO,0.05,0.5,50.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,131072.0,13107200,98128,981.28,0.007486572265625,0.49906821245770105,26214.0,198.76,0.007582207980468452
hugo_alpha0p1,HUGO,0.1,0.01,1.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,2621.0,262100,4308,43.08,0.01643647462800458,0.01009303976787415,2621.0,43.08,0.01643647462800458
hugo_alpha0p1,HUGO,0.1,0.05,5.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,13107.0,1310700,21244,212.44,0.01620813305867094,0.04969980626523779,10486.0,169.36,0.016151058554262826
