config_id,record_name,record_path,cover_relative_path,stego_relative_path,method,alpha,record_seed,probe_seed,probe_distribution,probe_image_source,image_height,image_width,total_pixels,carrier_pixels,used_pixels,used_pixel_fraction,used_pixel_percentage,probe_budget_fraction,probe_budget_percentage,probe_budget_pixels,unique_probed_pixels,guessed_carrier_pixels,precision_hit_rate,carrier_recall,incremental_probe_pixels,incremental_guessed_pixels,incremental_precision_hit_rate
hugo_alpha0p03,00001_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00001_changes.npz,00001.tif,00001_stego.png,HUGO,0.03,74309855,4228488073,wavelet_energy,stego,512,512,262144,1050,1050,0.00400543212890625,0.400543212890625,0.01,1.0,2621,2621,14,0.00534147272033575,0.013333333333333334,2621,14,0.00534147272033575
hugo_alpha0p03,00001_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00001_changes.npz,00001.tif,00001_stego.png,HUGO,0.03,74309855,4228488073,wavelet_energy,stego,512,512,262144,1050,1050,0.00400543212890625,0.400543212890625,0.05,5.0,13107,13107,90,0.00686655985351339,0.08571428571428572,10486,76,0.007247758916650773
hugo_alpha0p03,00001_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00001_changes.npz,00001.tif,00001_stego.png,HUGO,0.03,74309855,4228488073,wavelet_energy,stego,512,512,262144,1050,1050,0.00400543212890625,0.400543212890625,0.1,10.0,26214,26214,166,0.006332494087129015,0.1580952380952381,13107,76,0.0057984283207446405
hugo_alpha0p03,00001_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00001_changes.npz,00001.tif,00001_stego.png,HUGO,0.03,74309855,4228488073,wavelet_energy,stego,512,512,262144,1050,1050,0.00400543212890625,0.400543212890625,0.2,20.0,52429,52429,330,0.006294226477712717,0.3142857142857143,26215,164,0.006255960328056457
hugo_alpha0p03,00001_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00001_changes.npz,00001.tif,00001_stego.png,HUGO,0.03,74309855,4228488073,wavelet_energy,stego,512,512,262144,1050,1050,0.00400543212890625,0.400543212890625,0.3,30.0,78643,78643,489,0.0062179723560901795,0.4657142857142857,26214,159,0.006065461203936828
hugo_alpha0p03,00001_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00001_changes.npz,00001.tif,00001_stego.png,HUGO,0.03,74309855,4228488073,wavelet_energy,stego,512,512,262144,1050,1050,0.00400543212890625,0.400543212890625,0.4,40.0,104858,104858,619,0.005903221499551775,0.5895238095238096,26215,130,0.004958992942971581
hugo_alpha0p03,00001_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00001_changes.npz,00001.tif,00001_stego.png,HUGO,0.03,74309855,4228488073,wavelet_energy,stego,512,512,262144,1050,1050,0.00400543212890625,0.400543212890625,0.5,50.0,131072,131072,742,0.0056610107421875,0.7066666666666667,26214,123,0.0046921492332341495
hugo_alpha0p03,00002_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00002_changes.npz,00002.tif,00002_stego.png,HUGO,0.03,2903982999,2969020193,wavelet_energy,stego,512,512,262144,1496,1496,0.005706787109375,0.5706787109375,0.01,1.0,2621,2621,40,0.015261350629530714,0.026737967914438502,2621,40,0.015261350629530714
hugo_alpha0p03,00002_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00002_changes.npz,00002.tif,00002_stego.png,HUGO,0.03,2903982999,2969020193,wavelet_energy,stego,512,512,262144,1496,1496,0.005706787109375,0.5706787109375,0.05,5.0,13107,13107,210,0.01602197299153124,0.14037433155080214,10486,170,0.01621209231356094
hugo_alpha0p03,00002_changes.npz,/Users/pavloyatsura/Documents/phd/blind_steganalysis/experiments/probing_only/steganograms/hugo_alpha0p03/00002_changes.npz,00002.tif,00002_stego.png,HUGO,0.03,2903982999,2969020193,wavelet_energy,stego,512,512,262144,1496,1496,0.005706787109375,0.5706787109375,0.1,10.0,26214,26214,434,0.016556038757915618,0.29010695187165775,13107,224,0.017090104524299994
