config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate
hugo_alpha0p03,HUGO,0.03,0.01,1.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,2621.0,262100,2132,21.32,0.00813429988553987,0.018218359393959,2621.0,21.32,0.00813429988553987
hugo_alpha0p03,HUGO,0.03,0.05,5.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,13107.0,1310700,10315,103.15,0.00786984054322118,0.08824427399116365,10486.0,81.83,0.007803738317757009
hugo_alpha0p03,HUGO,0.03,0.1,10.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,26214.0,2621400,19723,197.23,0.007523842221713587,0.16941021795119293,13107.0,94.08,0.007177843900205997
hugo_alpha0p03,HUGO,0.03,0.2,20.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,52429.0,5242900,36737,367.37,0.0070069999427797595,0.31767948808369967,26215.0,170.14,0.00649017737936296
hugo_alpha0p03,HUGO,0.03,0.3,30.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,78643.0,7864300,51409,514.09,0.006537009015424132,0.4476745917121629,26214.0,146.72,0.005597009231708247
hugo_alpha0p03,HUGO,0.03,0.4,40.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,104858.0,10485800,64195,641.95,0.006122088920254057,0.5622536214088982,26215.0,127.86,0.004877360289910357
hugo_alpha0p03,HUGO,0.03,0.5,50.0,100,262144.0,1114.12,1114.12,0.004250030517578125,0.4250030517578125,131072.0,13107200,75561,755.61,0.005764846801757813,0.6653526143002493,26214.0,113.66,0.004335851071946287
hugo_alpha0p05,HUGO,0.05,0.01,1.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,2621.0,262100,3575,35.75,0.013639832125143076,0.017350894907557698,2621.0,35.75,0.013639832125143076
hugo_alpha0p05,HUGO,0.05,0.05,5.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,13107.0,1310700,17329,173.29,0.013221179522392615,0.0842629719619127,10486.0,137.54,0.013116536334159832
hugo_alpha0p05,HUGO,0.05,0.1,10.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,26214.0,2621400,33830,338.3,0.012905317769130998,0.16510287273999236,13107.0,165.01,0.012589456015869383
hugo_alpha0p05,HUGO,0.05,0.2,20.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,52429.0,5242900,63009,630.09,0.012017967155581835,0.30942710775857496,26215.0,291.79,0.011130650390997521
hugo_alpha0p05,HUGO,0.05,0.3,30.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,78643.0,7864300,88848,888.48,0.011297636153249494,0.43882026298959126,26214.0,258.39,0.00985694666971847
hugo_alpha0p05,HUGO,0.05,0.4,40.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,104858.0,10485800,111735,1117.35,0.010655839325564097,0.5547494054429795,26215.0,228.87,0.008730497806599274
hugo_alpha0p05,HUGO,0.05,0.5,50.0,100,262144.0,1966.34,1966.34,0.007500991821289062,0.7500991821289062,131072.0,13107200,131866,1318.66,0.010060577392578126,0.6579921970665891,26214.0,201.31,0.007679484245059891
hugo_alpha0p1,HUGO,0.1,0.01,1.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,2621.0,262100,7435,74.35,0.02836703548264021,0.016719513439069793,2621.0,74.35,0.02836703548264021
hugo_alpha0p1,HUGO,0.1,0.05,5.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,13107.0,1310700,35992,359.92,0.027460135805294876,0.08090570025211834,10486.0,285.57,0.02723345412931528
hugo_alpha0p1,HUGO,0.1,0.1,10.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,26214.0,2621400,69635,696.35,0.026564049744411383,0.1568787188508015,13107.0,336.43,0.025667963683527882
hugo_alpha0p1,HUGO,0.1,0.2,20.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,52429.0,5242900,131539,1315.39,0.02508897747429857,0.2978739807878896,26215.0,619.04,0.023613961472439448
hugo_alpha0p1,HUGO,0.1,0.3,30.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,78643.0,7864300,187182,1871.82,0.023801482649441142,0.42619218893162314,26214.0,556.43,0.02122644388494697
hugo_alpha0p1,HUGO,0.1,0.4,40.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,104858.0,10485800,237317,2373.17,0.022632226439565892,0.5430074857535838,26215.0,501.35,0.019124547015067706
hugo_alpha0p1,HUGO,0.1,0.5,50.0,100,262144.0,4276.25,4276.25,0.016312599182128906,1.6312599182128906,131072.0,13107200,281954,2819.54,0.021511383056640625,0.6479334830010172,26214.0,446.37,0.01702792401007095
hugo_alpha0p2,HUGO,0.2,0.01,1.0,100,262144.0,9448.82,9448.82,0.03604438781738281,3.6044387817382812,2621.0,262100,14876,148.76,0.05675696299122473,0.015210214797301357,2621.0,148.76,0.05675696299122473
hugo_alpha0p2,HUGO,0.2,0.05,5.0,100,262144.0,9448.82,9448.82,0.03604438781738281,3.6044387817382812,13107.0,1310700,73225,732.25,0.05586709391927976,0.07507670069003482,10486.0,583.49,0.05564466908258631
hugo_alpha0p2,HUGO,0.2,0.1,10.0,100,262144.0,9448.82,9448.82,0.03604438781738281,3.6044387817382812,26214.0,2621400,143936,1439.36,0.05490806439307239,0.14787961933816116,13107.0,707.11,0.05394903486686502
hugo_alpha0p2,HUGO,0.2,0.2,20.0,100,262144.0,9448.82,9448.82,0.03604438781738281,3.6044387817382812,52429.0,5242900,275500,2755.0,0.05254725438211676,0.284073921968639,26215.0,1315.64,0.050186534426854855
hugo_alpha0p2,HUGO,0.2,0.3,30.0,100,262144.0,9448.82,9448.82,0.03604438781738281,3.6044387817382812,78643.0,7864300,395882,3958.82,0.05033912744935977,0.4097262791397926,26214.0,1203.82,0.045922789349202714
hugo_alpha0p2,HUGO,0.2,0.4,40.0,100,262144.0,9448.82,9448.82,0.03604438781738281,3.6044387817382812,104858.0,10485800,505756,5057.56,0.04823246676457686,0.5253959271202748,26215.0,1098.74,0.041912645432004576
hugo_alpha0p2,HUGO,0.2,0.5,50.0,100,262144.0,9448.82,9448.82,0.03604438781738281,3.6044387817382812,131072.0,13107200,605997,6059.97,0.046233901977539064,0.6317442103852658,26214.0,1002.41,0.03823949034866864
hugo_alpha0p3,HUGO,0.3,0.01,1.0,100,262144.0,15136.13,15136.13,0.05773975372314453,5.773975372314453,2621.0,262100,22572,225.72,0.08611980160244183,0.014543436997914544,2621.0,225.72,0.08611980160244183
hugo_alpha0p3,HUGO,0.3,0.05,5.0,100,262144.0,15136.13,15136.13,0.05773975372314453,5.773975372314453,13107.0,1310700,110421,1104.21,0.08424582284275577,0.0712217853488114,10486.0,878.49,0.08377741750905969
hugo_alpha0p3,HUGO,0.3,0.1,10.0,100,262144.0,15136.13,15136.13,0.05773975372314453,5.773975372314453,26214.0,2621400,217662,2176.62,0.0830327306019684,0.14051952339696167,13107.0,1072.41,0.08181963836118104
hugo_alpha0p3,HUGO,0.3,0.2,20.0,100,262144.0,15136.13,15136.13,0.05773975372314453,5.773975372314453,52429.0,5242900,422004,4220.04,0.08049056819699021,0.2731099935273673,26215.0,2043.42,0.07794850276559222
hugo_alpha0p3,HUGO,0.3,0.3,30.0,100,262144.0,15136.13,15136.13,0.05773975372314453,5.773975372314453,78643.0,7864300,611288,6112.88,0.07772948641328535,0.396689170183179,26214.0,1892.84,0.07220721751735713
hugo_alpha0p3,HUGO,0.3,0.4,40.0,100,262144.0,15136.13,15136.13,0.05773975372314453,5.773975372314453,104858.0,10485800,787125,7871.25,0.07506580327681245,0.5121458718996822,26215.0,1758.37,0.06707495708563802
hugo_alpha0p3,HUGO,0.3,0.5,50.0,100,262144.0,15136.13,15136.13,0.05773975372314453,5.773975372314453,131072.0,13107200,948312,9483.12,0.0723504638671875,0.6185531764246432,26214.0,1611.87,0.06148889906157015
hugo_alpha0p4,HUGO,0.4,0.01,1.0,100,262144.0,21297.15,21297.15,0.08124217987060547,8.124217987060547,2621.0,262100,30147,301.47,0.1150209843571156,0.013893831990200816,2621.0,301.47,0.1150209843571156
hugo_alpha0p4,HUGO,0.4,0.05,5.0,100,262144.0,21297.15,21297.15,0.08124217987060547,8.124217987060547,13107.0,1310700,149915,1499.15,0.11437781338216219,0.06908335525370271,10486.0,1197.68,0.1142170513065039
hugo_alpha0p4,HUGO,0.4,0.1,10.0,100,262144.0,21297.15,21297.15,0.08124217987060547,8.124217987060547,26214.0,2621400,296166,2961.66,0.11298008697642478,0.13658116801022965,13107.0,1462.51,0.11158236057068739
hugo_alpha0p4,HUGO,0.4,0.2,20.0,100,262144.0,21297.15,21297.15,0.08124217987060547,8.124217987060547,52429.0,5242900,574917,5749.17,0.10965629708748975,0.2655450357060567,26215.0,2787.51,0.10633263398817473
hugo_alpha0p4,HUGO,0.4,0.3,30.0,100,262144.0,21297.15,21297.15,0.08124217987060547,8.124217987060547,78643.0,7864300,837695,8376.95,0.10651869842198289,0.38759856782417346,26214.0,2627.78,0.10024338139925229
hugo_alpha0p4,HUGO,0.4,0.4,40.0,100,262144.0,21297.15,21297.15,0.08124217987060547,8.124217987060547,104858.0,10485800,1083816,10838.16,0.10336035400255586,0.5023974118987593,26215.0,2461.21,0.09388556170131607
hugo_alpha0p4,HUGO,0.4,0.5,50.0,100,262144.0,21297.15,21297.15,0.08124217987060547,8.124217987060547,131072.0,13107200,1311422,13114.22,0.10005355834960937,0.6090708733049517,26214.0,2276.06,0.08682612344548712
hugo_alpha0p5,HUGO,0.5,0.01,1.0,100,262144.0,27912.48,27912.48,0.1064776611328125,10.64776611328125,2621.0,262100,38037,380.37,0.14512399847386495,0.01341512610166547,2621.0,380.37,0.14512399847386495
hugo_alpha0p5,HUGO,0.5,0.05,5.0,100,262144.0,27912.48,27912.48,0.1064776611328125,10.64776611328125,13107.0,1310700,189407,1894.07,0.14450827801937893,0.06683606918568341,10486.0,1513.7,0.14435437726492467
hugo_alpha0p5,HUGO,0.5,0.1,10.0,100,262144.0,27912.48,27912.48,0.1064776611328125,10.64776611328125,26214.0,2621400,374847,3748.47,0.1429949645227741,0.13233659061386288,13107.0,1854.4,0.14148165102616922
hugo_alpha0p5,HUGO,0.5,0.2,20.0,100,262144.0,27912.48,27912.48,0.1064776611328125,10.64776611328125,52429.0,5242900,731458,7314.58,0.1395140094222663,0.2585220561119783,26215.0,3566.11,0.13603318710661835
hugo_alpha0p5,HUGO,0.5,0.3,30.0,100,262144.0,27912.48,27912.48,0.1064776611328125,10.64776611328125,78643.0,7864300,1070012,10700.12,0.13605940770316496,0.3786490156881438,26214.0,3385.54,0.12915007248035398
hugo_alpha0p5,HUGO,0.5,0.4,40.0,100,262144.0,27912.48,27912.48,0.1064776611328125,10.64776611328125,104858.0,10485800,1389243,13892.43,0.13248803143298557,0.49229844333563,26215.0,3192.31,0.12177417509059697
hugo_alpha0p5,HUGO,0.5,0.5,50.0,100,262144.0,27912.48,27912.48,0.1064776611328125,10.64776611328125,131072.0,13107200,1689237,16892.37,0.12887855529785155,0.5994781090668597,26214.0,2999.94,0.11444037537193864
mipod_alpha0p03,MIPOD,0.03,0.01,1.0,100,262144.0,802.41,802.41,0.003060951232910156,0.3060951232910156,2621.0,262100,1227,12.27,0.0046814193056085454,0.014799076086276824,2621.0,12.27,0.0046814193056085454
mipod_alpha0p03,MIPOD,0.03,0.05,5.0,100,262144.0,802.41,802.41,0.003060951232910156,0.3060951232910156,13107.0,1310700,6065,60.65,0.004627298390173189,0.07342323850047086,10486.0,48.38,0.004613770741941636
mipod_alpha0p03,MIPOD,0.03,0.1,10.0,100,262144.0,802.41,802.41,0.003060951232910156,0.3060951232910156,26214.0,2621400,12061,120.61,0.004600976577401388,0.14637671804584218,13107.0,59.96,0.004574654764629586
mipod_alpha0p03,MIPOD,0.03,0.2,20.0,100,262144.0,802.41,802.41,0.003060951232910156,0.3060951232910156,52429.0,5242900,23003,230.03,0.00438745732323714,0.27988726495700456,26215.0,109.42,0.004173946213999618
mipod_alpha0p03,MIPOD,0.03,0.3,30.0,100,262144.0,802.41,802.41,0.003060951232910156,0.3060951232910156,78643.0,7864300,32993,329.93,0.004195287565326856,0.4029190414792967,26214.0,99.9,0.0038109407186999312
mipod_alpha0p03,MIPOD,0.03,0.4,40.0,100,262144.0,802.41,802.41,0.003060951232910156,0.3060951232910156,104858.0,10485800,42199,421.99,0.004024394895954528,0.5171282826160245,26215.0,92.06,0.0035117299256151053
mipod_alpha0p03,MIPOD,0.03,0.5,50.0,100,262144.0,802.41,802.41,0.003060951232910156,0.3060951232910156,131072.0,13107200,50852,508.52,0.00387969970703125,0.6253570680771019,26214.0,86.53,0.003300907911802853
mipod_alpha0p05,MIPOD,0.05,0.01,1.0,100,262144.0,1465.44,1465.44,0.0055902099609375,0.55902099609375,2621.0,262100,2204,22.04,0.008409004196871421,0.014523132528761962,2621.0,22.04,0.008409004196871421
mipod_alpha0p05,MIPOD,0.05,0.05,5.0,100,262144.0,1465.44,1465.44,0.0055902099609375,0.55902099609375,13107.0,1310700,11081,110.81,0.008454261081864652,0.07329500772504353,10486.0,88.77,0.008465573145145908
mipod_alpha0p05,MIPOD,0.05,0.1,10.0,100,262144.0,1465.44,1465.44,0.0055902099609375,0.55902099609375,26214.0,2621400,21686,216.86,0.008272678721293964,0.14363025135726404,13107.0,106.05,0.008091096360723275
mipod_alpha0p05,MIPOD,0.05,0.2,20.0,100,262144.0,1465.44,1465.44,0.0055902099609375,0.55902099609375,52429.0,5242900,41763,417.63,0.007965629708748976,0.27776632919003175,26215.0,200.77,0.007658592408926187
mipod_alpha0p05,MIPOD,0.05,0.3,30.0,100,262144.0,1465.44,1465.44,0.0055902099609375,0.55902099609375,78643.0,7864300,60199,601.99,0.007654718156733592,0.40177894790602536,26214.0,184.36,0.00703288319218738
mipod_alpha0p05,MIPOD,0.05,0.4,40.0,100,262144.0,1465.44,1465.44,0.0055902099609375,0.55902099609375,104858.0,10485800,77178,771.78,0.007360239562074423,0.5169960295009398,26215.0,169.79,0.006476826244516497
mipod_alpha0p05,MIPOD,0.05,0.5,50.0,100,262144.0,1465.44,1465.44,0.0055902099609375,0.55902099609375,131072.0,13107200,92612,926.12,0.00706573486328125,0.6225294897991038,26214.0,154.34,0.0058876935988403135
mipod_alpha0p1,MIPOD,0.1,0.01,1.0,100,262144.0,3381.02,3381.02,0.012897567749023437,1.2897567749023438,2621.0,262100,5060,50.6,0.01930560854635635,0.014458303678429325,2621.0,50.6,0.01930560854635635
mipod_alpha0p1,MIPOD,0.1,0.05,5.0,100,262144.0,3381.02,3381.02,0.012897567749023437,1.2897567749023438,13107.0,1310700,25148,251.48,0.01918669413290608,0.07182721221455876,10486.0,200.88,0.01915697119969483
mipod_alpha0p1,MIPOD,0.1,0.1,10.0,100,262144.0,3381.02,3381.02,0.012897567749023437,1.2897567749023438,26214.0,2621400,49660,496.6,0.018944075684748606,0.1420013593226953,13107.0,245.12,0.018701457236591133
mipod_alpha0p1,MIPOD,0.1,0.2,20.0,100,262144.0,3381.02,3381.02,0.012897567749023437,1.2897567749023438,52429.0,5242900,96114,961.14,0.01833222071754182,0.27604356423805493,26215.0,464.54,0.017720389090215526
mipod_alpha0p1,MIPOD,0.1,0.3,30.0,100,262144.0,3381.02,3381.02,0.012897567749023437,1.2897567749023438,78643.0,7864300,138757,1387.57,0.017643909820327305,0.40028261804735976,26214.0,426.43,0.016267261768520634
mipod_alpha0p1,MIPOD,0.1,0.4,40.0,100,262144.0,3381.02,3381.02,0.012897567749023437,1.2897567749023438,104858.0,10485800,177690,1776.9,0.016945774285223827,0.5147084925393515,26215.0,389.33,0.014851420942208655
mipod_alpha0p1,MIPOD,0.1,0.5,50.0,100,262144.0,3381.02,3381.02,0.012897567749023437,1.2897567749023438,131072.0,13107200,213758,2137.58,0.016308441162109374,0.6216364839320901,26214.0,360.68,0.013759060044251162
mipod_alpha0p2,MIPOD,0.2,0.01,1.0,100,262144.0,7972.16,7972.16,0.030411376953125,3.0411376953125,2621.0,262100,11911,119.11,0.04544448683708509,0.014391430615461012,2621.0,119.11,0.04544448683708509
mipod_alpha0p2,MIPOD,0.2,0.05,5.0,100,262144.0,7972.16,7972.16,0.030411376953125,3.0411376953125,13107.0,1310700,59052,590.52,0.04505378805218584,0.07146465902089962,10486.0,471.41,0.044956131985504494
mipod_alpha0p2,MIPOD,0.2,0.1,10.0,100,262144.0,7972.16,7972.16,0.030411376953125,3.0411376953125,26214.0,2621400,116152,1161.52,0.044309147783627066,0.14081948165094252,13107.0,571.0,0.04356450751506828
mipod_alpha0p2,MIPOD,0.2,0.2,20.0,100,262144.0,7972.16,7972.16,0.030411376953125,3.0411376953125,52429.0,5242900,223923,2239.23,0.042709759865723174,0.27254294515143274,26215.0,1077.71,0.04111043295823001
mipod_alpha0p2,MIPOD,0.2,0.3,30.0,100,262144.0,7972.16,7972.16,0.030411376953125,3.0411376953125,78643.0,7864300,323418,3234.18,0.041124829927647724,0.3951749747795484,26214.0,994.95,0.03795490959029526
mipod_alpha0p2,MIPOD,0.2,0.4,40.0,100,262144.0,7972.16,7972.16,0.030411376953125,3.0411376953125,104858.0,10485800,415674,4156.74,0.03964161055904175,0.5099771996227456,26215.0,922.56,0.03519206561129124
mipod_alpha0p2,MIPOD,0.2,0.5,50.0,100,262144.0,7972.16,7972.16,0.030411376953125,3.0411376953125,131072.0,13107200,500419,5004.19,0.038178939819335934,0.6163887729857849,26214.0,847.45,0.03232814526588846
mipod_alpha0p3,MIPOD,0.3,0.01,1.0,100,262144.0,13394.02,13394.02,0.051094131469726564,5.109413146972656,2621.0,262100,19663,196.63,0.0750209843571156,0.014183229347101535,2621.0,196.63,0.0750209843571156
